# ridge,lasso,enet,pmridge,pmlasso,pmenet,mskridge,msklasso,mskenet,tskridge,tsklasso,tskenet
0.000000000000000000e+00,-2.657160156896916874e+02,-2.657160156896916874e+02,1.553924306155914792e+01,-2.657160156896916874e+02,-2.657160156896916874e+02,1.535010994124999684e+02,-2.657160156896916874e+02,-2.657160156896916874e+02,1.246495841930863975e+02,-2.657160156896916874e+02,-2.657160156896916874e+02
0.000000000000000000e+00,0.000000000000000000e+00,nan,2.779547166500654498e+02,nan,nan,2.786738610685326876e+02,nan,nan,2.749251358829507694e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.779547166500654498e+02,nan,nan,2.786738610685326876e+02,nan,nan,2.749251358829507694e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.779547166500654498e+02,-2.779547166500654498e+02,1.065034651111713231e+02,-2.779547166500654498e+02,-2.779547166500654498e+02,9.556418753707920644e+01,-2.779547166500654498e+02,-2.779547166500654498e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,2.786738610685326876e+02,nan,nan,2.749251358829507694e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.786738610685326876e+02,nan,nan,2.749251358829507694e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.786738610685326876e+02,-2.786738610685326876e+02,-1.265573492284696178e+00,-2.786738610685326876e+02,-2.786738610685326876e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,2.749251358829507694e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.749251358829507694e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.749251358829507694e+02,-2.749251358829507694e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
