# ridge,lasso,enet,pmridge,pmlasso,pmenet,mskridge,msklasso,mskenet,tskridge,tsklasso,tskenet
0.000000000000000000e+00,-2.454332401316319476e+02,-2.454332401316319476e+02,-3.512575054902904981e+01,-2.454332401316319476e+02,-2.454332401316319476e+02,4.596602029071100759e+01,-2.454332401316319476e+02,-2.454332401316319476e+02,4.802782555945875487e+01,-2.454332401316319476e+02,-2.454332401316319476e+02
0.000000000000000000e+00,0.000000000000000000e+00,nan,2.604187310280785823e+02,nan,nan,2.572458456895082008e+02,nan,nan,2.505653514236485933e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.604187310280785823e+02,nan,nan,2.572458456895082008e+02,nan,nan,2.505653514236485933e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.604187310280785823e+02,-2.604187310280785823e+02,7.247112317531802717e+01,-2.604187310280785823e+02,-2.604187310280785823e+02,6.462010904314509219e+01,-2.604187310280785823e+02,-2.604187310280785823e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,2.572458456895082008e+02,nan,nan,2.505653514236485933e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.572458456895082008e+02,nan,nan,2.505653514236485933e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.572458456895082008e+02,-2.572458456895082008e+02,2.563348371218352906e+00,-2.572458456895082008e+02,-2.572458456895082008e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,2.505653514236485933e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.505653514236485933e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.505653514236485933e+02,-2.505653514236485933e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
