,UnderlyingSymbol,UnderlyingPrice,OptionSymbol,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,m,tau,InterestR,ForwardP,Mid
0,SPX,2099.67,SPX150320P01890000,,put,2015-03-20,2015-02-18,1890.0,3.45,2.8,3.7,733,8732,0.2353,-0.0533,0.0008,-94.2651,64.5946,0.9001414507994113,0.0821917808219178,0.016749064638965833,2102.5624706368444,3.25
1,SPX,2099.67,SPX150320P01895000,,put,2015-03-20,2015-02-18,1895.0,4.0,3.0,3.9,679,1603,0.2336,-0.0565,0.0008,-97.9636,67.6217,0.9025227773888277,0.0821917808219178,0.016245698458500622,2102.475484038475,3.45
2,SPX,2099.67,SPX150320C01900000,,call,2015-03-20,2015-02-18,1900.0,197.7,197.6,200.5,406,12313,0.1288,0.9971,0.0001,-9.1047,5.2561,0.9049041039782442,0.0821917808219178,0.015400424545428238,2102.329420535983,199.05
3,SPX,2099.67,SPX150320P01900000,,put,2015-03-20,2015-02-18,1900.0,3.6,3.2,4.0,7007,68900,0.2311,-0.0592,0.0009,-100.6036,70.2001,0.9049041039782442,0.0821917808219178,0.01626224361067973,2102.4783431453643,3.6
4,SPX,2099.67,SPX150320P01905000,,put,2015-03-20,2015-02-18,1905.0,4.3,3.3,4.2,674,2634,0.2283,-0.0619,0.0009,-102.8662,72.6644,0.9072854305676606,0.0821917808219178,0.01570706422032208,2102.382406760682,3.75
5,SPX,2099.67,SPX150320P01910000,,put,2015-03-20,2015-02-18,1910.0,4.0,3.3,4.4,658,11950,0.2248,-0.0642,0.0009,-104.1362,74.7127,0.909666757157077,0.0821917808219178,0.015037215810400635,2102.2666611103386,3.85
6,SPX,2099.67,SPX150320P01915000,,put,2015-03-20,2015-02-18,1915.0,4.8,3.7,4.6,608,978,0.2239,-0.0687,0.001,-109.3689,78.7877,0.9120480837464935,0.0821917808219178,0.015019288997245452,2102.2635635557745,4.15
7,SPX,2099.67,SPX150320P01920000,,put,2015-03-20,2015-02-18,1920.0,4.8,3.7,4.7,744,8088,0.2196,-0.0706,0.001,-109.507,80.4391,0.9144294103359099,0.0821917808219178,0.014535274946061636,2102.179933018946,4.2
8,SPX,2099.67,SPX150320C01925000,,call,2015-03-20,2015-02-18,1925.0,172.0,173.5,176.5,5,7949,0.1288,0.9919,0.0003,-15.5425,13.2454,0.9168107369253263,0.0821917808219178,0.01517964004900278,2102.291270601931,175.0
9,SPX,2099.67,SPX150320P01925000,,put,2015-03-20,2015-02-18,1925.0,4.4,3.9,5.0,809,48232,0.2176,-0.0746,0.0011,-113.2171,83.9355,0.9168107369253263,0.0821917808219178,0.014359621925933454,2102.1495835733085,4.45
10,SPX,2099.67,SPX150320P01930000,,put,2015-03-20,2015-02-18,1930.0,4.86,4.2,5.2,765,5142,0.2156,-0.0789,0.0011,-117.0132,87.5619,0.9191920635147428,0.0821917808219178,0.013840745539794978,2102.059934325053,4.7
11,SPX,2099.67,SPX150320P01935000,,put,2015-03-20,2015-02-18,1935.0,5.05,4.3,5.4,664,2206,0.2122,-0.0821,0.0012,-118.6554,90.2221,0.9215733901041592,0.0821917808219178,0.013436919307389765,2101.99016559714,4.85
12,SPX,2099.67,SPX150320P01940000,,put,2015-03-20,2015-02-18,1940.0,5.7,5.2,5.7,732,8371,0.2136,-0.0901,0.0013,-128.1034,96.7744,0.9239547166935757,0.0821917808219178,0.013373569629070846,2101.9792209351554,5.45
13,SPX,2099.67,SPX150320P01945000,,put,2015-03-20,2015-02-18,1945.0,5.9,4.8,6.0,643,1273,0.2078,-0.0914,0.0013,-125.9426,97.8095,0.926336043282992,0.0821917808219178,0.013033635671981975,2101.9204929242715,5.4
14,SPX,2099.67,SPX150320C01950000,,call,2015-03-20,2015-02-18,1950.0,147.9,149.8,152.8,1,31942,0.1288,0.9798,0.0006,-28.2348,29.0866,0.9287173698724085,0.0821917808219178,0.012797948351681387,2101.8797758385017,151.3
15,SPX,2099.67,SPX150320P01950000,,put,2015-03-20,2015-02-18,1950.0,5.65,5.0,6.2,7206,81908,0.2046,-0.0955,0.0014,-128.0383,101.0033,0.9287173698724085,0.0821917808219178,0.012535428045775138,2101.8344240438037,5.6
16,SPX,2099.67,SPX150320P01955000,,put,2015-03-20,2015-02-18,1955.0,6.95,5.5,6.6,730,575,0.2037,-0.1023,0.0015,-133.9995,106.1831,0.931098696461825,0.0821917808219178,0.012009307960822224,2101.7435369153,6.05
17,SPX,2099.67,SPX150320P01960000,,put,2015-03-20,2015-02-18,1960.0,7.35,5.7,6.9,587,6043,0.2007,-0.1071,0.0015,-136.5247,109.8143,0.9334800230512413,0.0821917808219178,0.011898260126999623,2101.724353928842,6.300000000000001
18,SPX,2099.67,SPX150320P01965000,,put,2015-03-20,2015-02-18,1965.0,7.13,6.0,7.2,654,2487,0.1979,-0.1125,0.0016,-139.4203,113.7441,0.9358613496406578,0.0821917808219178,0.011470714889728714,2101.6504991521824,6.6
19,SPX,2099.67,SPX150320P01970000,,put,2015-03-20,2015-02-18,1970.0,8.1,6.4,7.6,697,6528,0.1959,-0.1191,0.0017,-143.7133,118.458,0.9382426762300742,0.0821917808219178,0.011194628613365832,2101.6028089924125,7.0
20,SPX,2099.67,SPX150320C01975000,,call,2015-03-20,2015-02-18,1975.0,127.53,126.5,129.5,12,15240,0.1484,0.9307,0.0015,-77.9441,79.3092,0.9406240028194907,0.0821917808219178,0.010868531768540949,2101.546481579184,128.0
21,SPX,2099.67,SPX150320P01975000,,put,2015-03-20,2015-02-18,1975.0,7.41,6.8,8.1,1245,43897,0.1941,-0.1264,0.0018,-148.393,123.4652,0.9406240028194907,0.0821917808219178,0.01065972067506683,2101.5104139802957,7.449999999999999
22,SPX,2099.67,SPX150320C01980000,,call,2015-03-20,2015-02-18,1980.0,122.5,121.9,124.9,5,11111,0.1487,0.9219,0.0016,-85.0587,86.878,0.9430053294089071,0.0821917808219178,0.010430671905334381,2101.470851472568,123.4
23,SPX,2099.67,SPX150320P01980000,,put,2015-03-20,2015-02-18,1980.0,8.0,7.8,8.5,941,13842,0.194,-0.136,0.0019,-156.0449,129.9134,0.9430053294089071,0.0821917808219178,0.010520093899693553,2101.486296820941,8.15
24,SPX,2099.67,SPX150320P01985000,,put,2015-03-20,2015-02-18,1985.0,8.7,7.9,9.0,770,18708,0.1905,-0.1421,0.002,-157.8477,133.8499,0.9453866559983235,0.0821917808219178,0.010170412548703715,2101.42589901212,8.45
25,SPX,2099.67,SPX150320C01990000,,call,2015-03-20,2015-02-18,1990.0,115.19,112.9,115.9,19,22981,0.1496,0.9017,0.0019,-100.6458,103.1954,0.94776798258774,0.0821917808219178,0.009942901295296527,2101.386603650191,114.4
26,SPX,2099.67,SPX150320P01990000,,put,2015-03-20,2015-02-18,1990.0,8.69,8.2,9.4,737,25068,0.1873,-0.149,0.0021,-160.1642,138.1573,0.94776798258774,0.0821917808219178,0.0096990642247798,2101.344489336307,8.8
27,SPX,2099.67,SPX150320C01995000,,call,2015-03-20,2015-02-18,1995.0,106.9,108.4,111.4,20,21137,0.1497,0.8909,0.0021,-108.2127,111.3016,0.9501493091771563,0.0821917808219178,0.00959505183936242,2101.3265250964164,109.9
28,SPX,2099.67,SPX150320P01995000,,put,2015-03-20,2015-02-18,1995.0,9.65,8.7,10.0,671,21558,0.1853,-0.1578,0.0022,-164.5538,143.4986,0.9501493091771563,0.0821917808219178,0.00930444198692474,2101.276333954088,9.35
29,SPX,2099.67,SPX150320C02000000,,call,2015-03-20,2015-02-18,2000.0,105.7,103.9,107.1,287,137739,0.1494,0.8799,0.0023,-115.2599,119.1585,0.9525306357665728,0.0821917808219178,0.00918501035423921,2101.25570729944,105.5
30,SPX,2099.67,SPX150320P02000000,,put,2015-03-20,2015-02-18,2000.0,10.0,9.5,10.1,13656,159499,0.1824,-0.1659,0.0023,-167.3573,148.2906,0.9525306357665728,0.0821917808219178,0.009116327190867305,2101.2438453420423,9.8
31,SPX,2099.67,SPX150320C02005000,,call,2015-03-20,2015-02-18,2005.0,98.15,99.5,102.4,11,17633,0.1477,0.8703,0.0024,-119.9932,125.7247,0.9549119623559893,0.0821917808219178,0.008804590920035861,2101.190007627343,100.95
32,SPX,2099.67,SPX150320P02005000,,put,2015-03-20,2015-02-18,2005.0,11.75,9.9,11.1,603,18962,0.1809,-0.1764,0.0024,-172.5543,154.1897,0.9549119623559893,0.0821917808219178,0.008615439887222576,2101.15734139414,10.5
33,SPX,2099.67,SPX150320C02010000,,call,2015-03-20,2015-02-18,2010.0,97.57,95.2,98.1,32,16833,0.1476,0.8575,0.0026,-127.5573,134.1107,0.9572932889454057,0.0821917808219178,0.00853068297443962,2101.1427041073543,96.65
34,SPX,2099.67,SPX150320P02010000,,put,2015-03-20,2015-02-18,2010.0,12.45,10.6,11.8,656,18367,0.1792,-0.1871,0.0025,-177.3416,160.0002,0.9572932889454057,0.0821917808219178,0.008375864763385622,2101.1159676894113,11.2
