,models,rmse,rmsestd,r2:,r2std
0,sridge,0.013864949816739311,0.009912660923459203,0.8876436514693791,0.06434253064175327
1,slasso,0.06112200194451025,0.025581973188325353,-0.7604607959106587,0.4598291372201213
2,senet,0.06112200194451025,0.025581973188325353,-0.7604607959106587,0.4598291372201213
3,splsridge,0.01932529162606085,0.012163328429171824,0.7970172873430555,0.09974717221784479
4,splslasso,0.019336129163115258,0.01216635425374111,0.7968499733458022,0.09994199375724905
5,splsenet,0.019331129979613712,0.012165270585188173,0.7969238995048556,0.0998468378610885
6,pmridge,0.012623910999592007,0.011096472166715056,0.8891369578042729,0.050334059422257896
7,pmlasso,0.06112200194451025,0.025581973188325353,-0.7604607959106587,0.4598291372201213
8,pmenet,0.06112200194451025,0.025581973188325353,-0.7604607959106587,0.4598291372201213
9,pmplsridge,0.0163294209500852,0.015830579580110846,0.798217197223136,0.05913867684616573
10,pmplslasso,0.0163294209500852,0.015830579580110846,0.798217197223136,0.05913867684616573
11,pmplsenet,0.0163294209500852,0.015830579580110846,0.798217197223136,0.05913867684616573
12,mskridge,0.013717346307945808,0.009701349844051169,0.8901940525350628,0.06542097996226232
13,msklasso,0.06112200194451025,0.025581973188325353,-0.7604607959106587,0.4598291372201213
14,mskenet,0.06112200194451025,0.025581973188325353,-0.7604607959106587,0.4598291372201213
15,mskplsridge,0.01967293221735644,0.014547043357513188,0.7622906813841872,0.09177915870863394
16,mskplslasso,0.01994856864177894,0.014468108260815918,0.7599853213977001,0.09477475293135805
17,mskplsenet,0.019635659763955492,0.01451725338366145,0.763450980326952,0.09199238836590667
18,msknsridge,0.01513775326176908,0.010591239747135689,0.8655259154942333,0.06366115625775567
19,msknslasso,0.10909627927690028,0.038976397315498644,-4.764444655652176,2.3285133394060686
20,msknsenet,0.09897338128220368,0.036944372184184004,-3.7368204579330073,1.4205696470331435
21,tskridge,0.0126973297542301,0.010324124717753087,0.8959937409971034,0.056499328243053704
22,tsklasso,0.06112200194451025,0.025581973188325353,-0.7604607959106587,0.4598291372201213
23,tskenet,0.06112200194451025,0.025581973188325353,-0.7604607959106587,0.4598291372201213
24,tskplsridge,0.01601307642160047,0.012900760867562837,0.8312120162034541,0.052132940992417144
25,tskplslasso,0.01660409855086253,0.013080811246214187,0.8228636831528925,0.05482506307935609
26,tskplsenet,0.016318541296347983,0.012996094011774066,0.826822495167494,0.05313514772490816
27,tsknsridge,0.0137100383331295,0.011202559410968028,0.8774983493383973,0.05509009148708145
28,tsknslasso,0.06112292959149755,0.025581276775207273,-0.7612386880152332,0.46291233149596034
29,tsknsenet,0.06112292959149755,0.025581276775207273,-0.7612386880152332,0.46291233149596034
