,models,rmse,rmsestd,r2:,r2std
0,sridge,0.02000121743375009,0.010633100551808777,0.8103657489053823,0.09159609577638188
1,slasso,0.06114788018584072,0.025237557153453598,-0.7013840697815905,0.4810177349007173
2,senet,0.06114788018584072,0.025237557153453598,-0.7013840697815905,0.4810177349007173
3,splsridge,0.0183446178423768,0.010576591787200622,0.8317298313078632,0.09220827079212293
4,splslasso,0.018354422783584817,0.010573638129283401,0.8317457582519985,0.09201316242469235
5,splsenet,0.01834495185362235,0.010573619012748232,0.8318260907333335,0.0920212470542005
6,pmridge,0.01401684080137071,0.010278676035025252,0.8884818180143561,0.05138785422019629
7,pmlasso,0.06114788018584072,0.025237557153453598,-0.7013840697815905,0.4810177349007173
8,pmenet,0.06114788018584072,0.025237557153453598,-0.7013840697815905,0.4810177349007173
9,pmplsridge,0.017660673766655744,0.01546514994607206,0.7942146439666193,0.06998770008806329
10,pmplslasso,0.017660673766655744,0.01546514994607206,0.7942146439666193,0.06998770008806329
11,pmplsenet,0.017660673766655744,0.01546514994607206,0.7942146439666193,0.06998770008806329
12,mskridge,0.014445828300184363,0.008972499543397008,0.8945616060441757,0.05783832834637319
13,msklasso,0.06114788018584072,0.025237557153453598,-0.7013840697815905,0.4810177349007173
14,mskenet,0.06114788018584072,0.025237557153453598,-0.7013840697815905,0.4810177349007173
15,mskplsridge,0.02054967600243072,0.01395296922427524,0.7636528530130733,0.06700448446772131
16,mskplslasso,0.020676302021705072,0.014252217434363319,0.7600581400445263,0.07306432510449791
17,mskplsenet,0.020169441700047343,0.014148252866278252,0.7680645386970651,0.06946648804784937
18,tskridge,0.014584381511406758,0.009409577823726357,0.8901292740055591,0.06140875036074416
19,tsklasso,0.06114788018584072,0.025237557153453598,-0.7013840697815905,0.4810177349007173
20,tskenet,0.06114788018584072,0.025237557153453598,-0.7013840697815905,0.4810177349007173
21,tskplsridge,0.019688907461652236,0.013393617156131748,0.7915888416436123,0.09202579349706586
22,tskplslasso,0.020181982248875612,0.01367585436823437,0.7793846930170293,0.08771538883086691
23,tskplsenet,0.019875505447009677,0.013533442611832118,0.7857808752449528,0.08827830254910136
