# ridge,lasso,enet,pmridge,pmlasso,pmenet,mskridge,msklasso,mskenet,tskridge,tsklasso,tskenet
0.000000000000000000e+00,-1.196781806037151199e+02,-1.196781806037151199e+02,6.863937528539392652e+00,-1.196781806037151199e+02,-1.196781806037151199e+02,-3.018235788176381273e+00,-1.196781806037151199e+02,-1.196781806037151199e+02,3.129061636031082116e+01,-1.196781806037151199e+02,-1.196781806037151199e+02
0.000000000000000000e+00,0.000000000000000000e+00,nan,1.206851943032956456e+02,nan,nan,1.189242909016743113e+02,nan,nan,1.215988357696970041e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.206851943032956456e+02,nan,nan,1.189242909016743113e+02,nan,nan,1.215988357696970041e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.206851943032956456e+02,-1.206851943032956456e+02,-9.383248901815587573e+00,-1.206851943032956456e+02,-1.206851943032956456e+02,7.566015234984638127e+00,-1.206851943032956456e+02,-1.206851943032956456e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.189242909016743113e+02,nan,nan,1.215988357696970041e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.189242909016743113e+02,nan,nan,1.215988357696970041e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.189242909016743113e+02,-1.189242909016743113e+02,2.801322160855550791e+01,-1.189242909016743113e+02,-1.189242909016743113e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.215988357696970041e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.215988357696970041e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.215988357696970041e+02,-1.215988357696970041e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
