# ridge,lasso,enet,pmridge,pmlasso,pmenet,mskridge,msklasso,mskenet,tskridge,tsklasso,tskenet
0.000000000000000000e+00,-1.146411856656240786e+02,-1.146411856656240786e+02,1.662980359378582662e+01,-1.146411856656240786e+02,-1.146411856656240786e+02,2.919112861609880838e+01,-1.146411856656240786e+02,-1.146411856656240786e+02,3.401695840526521408e+01,-1.146411856656240786e+02,-1.146411856656240786e+02
0.000000000000000000e+00,0.000000000000000000e+00,nan,1.171283895044791166e+02,nan,nan,1.174966317463700562e+02,nan,nan,1.181551024960002678e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.171283895044791166e+02,nan,nan,1.174966317463700562e+02,nan,nan,1.181551024960002678e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.171283895044791166e+02,-1.171283895044791166e+02,3.432855106907474418e+00,-1.171283895044791166e+02,-1.171283895044791166e+02,4.750671052684052320e+00,-1.171283895044791166e+02,-1.171283895044791166e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.174966317463700562e+02,nan,nan,1.181551024960002678e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.174966317463700562e+02,nan,nan,1.181551024960002678e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.174966317463700562e+02,-1.174966317463700562e+02,3.489772310042822401e+00,-1.174966317463700562e+02,-1.174966317463700562e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.181551024960002678e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.181551024960002678e+02,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.181551024960002678e+02,-1.181551024960002678e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
