# ridge,lasso,enet,plsridge,plslasso,plsenet,pmridge,pmlasso,pmenet,pmplsridge,pmplslasso,pmplsenet,mskridge,msklasso,mskenet,mskplsridge,mskplslasso,mskplsenet,tskridge,tsklasso,tskenet,tskplsridge,tskplslasso,tskplsenet
0.000000000000000000e+00,-6.580609819096534352e+01,-6.580609819096534352e+01,-1.671233395486815354e+01,-1.666376621548610260e+01,-1.668186602585993583e+01,1.669006059405791609e+00,-6.580609819096534352e+01,-6.580609819096534352e+01,-5.228381937182103201e+00,-5.228381937182103201e+00,-5.228381937182103201e+00,1.352064549212323996e+00,-6.580609819096534352e+01,-6.580609819096534352e+01,-1.091902789959876685e+01,-1.411224395827330191e+01,-1.226555728404220780e+01,7.217937135857707354e+00,-6.580609819096534352e+01,-6.580609819096534352e+01,-5.955666777708544579e+00,-7.159627388793966318e+00,-6.244878745687197252e+00
0.000000000000000000e+00,0.000000000000000000e+00,nan,6.757182119094797201e+01,6.759060371863937178e+01,6.758314072067780387e+01,6.832954606567271583e+01,nan,nan,7.063892328500456586e+01,7.063892328500456586e+01,7.063892328500456586e+01,6.628760482522380926e+01,nan,nan,6.901955798843206935e+01,6.866756164951009112e+01,6.894972671713898649e+01,6.678323312415197677e+01,nan,nan,6.843620172608760299e+01,6.956710992544478245e+01,6.916543632081622661e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.757182119094797201e+01,6.759060371863937178e+01,6.758314072067780387e+01,6.832954606567271583e+01,nan,nan,7.063892328500456586e+01,7.063892328500456586e+01,7.063892328500456586e+01,6.628760482522380926e+01,nan,nan,6.901955798843206935e+01,6.866756164951009112e+01,6.894972671713898649e+01,6.678323312415197677e+01,nan,nan,6.843620172608760299e+01,6.956710992544478245e+01,6.916543632081622661e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.091227579436993667e+00,-7.815326678616388856e-01,3.519597799176143837e+01,-6.757182119094797201e+01,-6.757182119094797201e+01,2.287058686664382989e+01,2.287058686664382989e+01,2.287058686664382989e+01,1.970647854252817055e+01,-6.757182119094797201e+01,-6.757182119094797201e+01,6.790444641541096615e+00,-4.390076023319643639e+00,2.077411783362316910e+00,2.417769350838158715e+01,-6.757182119094797201e+01,-6.757182119094797201e+01,4.744411652044060901e+01,3.011209161976392679e+01,5.346870554005969467e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.558554581828774044e+00,3.509234691233223202e+01,-6.759060371863937178e+01,-6.759060371863937178e+01,2.312344920858941677e+01,2.312344920858941677e+01,2.312344920858941677e+01,1.964391976641482529e+01,-6.759060371863937178e+01,-6.759060371863937178e+01,6.877403901789961971e+00,-4.427654003617793599e+00,2.115635691052993206e+00,2.409459656389023152e+01,-6.759060371863937178e+01,-6.759060371863937178e+01,4.695344191288471336e+01,3.060242038745996140e+01,5.405911247329988356e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.513115291883730151e+01,-6.758314072067780387e+01,-6.758314072067780387e+01,2.302122916888952275e+01,2.302122916888952275e+01,2.302122916888952275e+01,1.966717021069159088e+01,-6.758314072067780387e+01,-6.758314072067780387e+01,6.840903065558394225e+00,-4.415138124301932976e+00,2.098129086961020295e+00,2.412610381294888029e+01,-6.758314072067780387e+01,-6.758314072067780387e+01,4.714567711168896125e+01,3.040401267854508660e+01,5.382515451683025276e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.832954606567271583e+01,-6.832954606567271583e+01,-1.089896754258309564e+01,-1.089896754258309564e+01,-1.089896754258309564e+01,-1.634928993397694708e+00,-6.832954606567271583e+01,-6.832954606567271583e+01,-2.134160061145276188e+01,-2.581362261673384850e+01,-2.312056487409149952e+01,3.569237643734207932e+00,-6.832954606567271583e+01,-6.832954606567271583e+01,-1.727462925287131768e+01,-1.616719339286893842e+01,-1.645485939828324007e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,7.063892328500456586e+01,7.063892328500456586e+01,7.063892328500456586e+01,6.628760482522380926e+01,nan,nan,6.901955798843206935e+01,6.866756164951009112e+01,6.894972671713898649e+01,6.678323312415197677e+01,nan,nan,6.843620172608760299e+01,6.956710992544478245e+01,6.916543632081622661e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.063892328500456586e+01,7.063892328500456586e+01,7.063892328500456586e+01,6.628760482522380926e+01,nan,nan,6.901955798843206935e+01,6.866756164951009112e+01,6.894972671713898649e+01,6.678323312415197677e+01,nan,nan,6.843620172608760299e+01,6.956710992544478245e+01,6.916543632081622661e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,6.152299754556177724e+00,-7.063892328500456586e+01,-7.063892328500456586e+01,-5.109604847750170364e+01,-7.309221928922499956e+01,-6.643816928727143534e+01,8.634750214885052344e+00,-7.063892328500456586e+01,-7.063892328500456586e+01,3.028422618445623549e+00,-6.367849017373350407e+00,1.369096832844671097e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,6.152299754556177724e+00,-7.063892328500456586e+01,-7.063892328500456586e+01,-5.109604847750170364e+01,-7.309221928922499956e+01,-6.643816928727143534e+01,8.634750214885052344e+00,-7.063892328500456586e+01,-7.063892328500456586e+01,3.028422618445623549e+00,-6.367849017373350407e+00,1.369096832844671097e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.152299754556177724e+00,-7.063892328500456586e+01,-7.063892328500456586e+01,-5.109604847750170364e+01,-7.309221928922499956e+01,-6.643816928727143534e+01,8.634750214885052344e+00,-7.063892328500456586e+01,-7.063892328500456586e+01,3.028422618445623549e+00,-6.367849017373350407e+00,1.369096832844671097e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.628760482522380926e+01,-6.628760482522380926e+01,-1.259973479152586151e+01,-1.608365345654453193e+01,-1.406272335310064214e+01,9.997532200511308531e+00,-6.628760482522380926e+01,-6.628760482522380926e+01,-7.550215135885508744e+00,-8.524253210042807893e+00,-7.669319946798990983e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,6.901955798843206935e+01,6.866756164951009112e+01,6.894972671713898649e+01,6.678323312415197677e+01,nan,nan,6.843620172608760299e+01,6.956710992544478245e+01,6.916543632081622661e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.901955798843206935e+01,6.866756164951009112e+01,6.894972671713898649e+01,6.678323312415197677e+01,nan,nan,6.843620172608760299e+01,6.956710992544478245e+01,6.916543632081622661e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.710063490147135923e+01,-2.474848455251338208e+01,1.566956518208695925e+01,-6.901955798843206935e+01,-6.901955798843206935e+01,1.640708216039016420e+01,2.593142610226976785e+01,2.189949189870241142e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.527014517976991215e+01,1.914338953731562754e+01,-6.866756164951009112e+01,-6.866756164951009112e+01,2.334197477373536600e+01,4.127489318717233147e+01,3.166571124254576119e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.708753407296972782e+01,-6.894972671713898649e+01,-6.894972671713898649e+01,1.943175895694174926e+01,3.375763860100496316e+01,2.635516070392737120e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.678323312415197677e+01,-6.678323312415197677e+01,-1.208124038416685941e+01,-1.167871922839901444e+01,-1.132912793545024499e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,6.843620172608760299e+01,6.956710992544478245e+01,6.916543632081622661e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.843620172608760299e+01,6.956710992544478245e+01,6.916543632081622661e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.146898594895892742e+00,-5.655467988947560976e+00
