# ssviridge,lasso,enet,plsridge,plslasso,plsenet,pmlasso,pmenet,pmplsridge,pmplslasso,pmplsenet,msklasso,mskenet,mskplsridge,mskplslasso,mskplsenet,msknsridge,msknslasso,msknsenet,ctridge,ctlasso,ctenet,ssvilasso,ssvienet,tsklasso,tskenet,tskplsridge,tskplslasso,tskplsenet,tsknsridge,tsknslasso,tsknsenet,ridge,mskridge,pmridge,tskridge
0.000000000000000000e+00,-6.241169000989348348e+01,-6.241169000989348348e+01,4.022508782456228893e+00,3.758345401538068842e+00,3.942713214928452281e+00,-6.241169000989348348e+01,-6.241169000989348348e+01,1.431604700177063094e+00,1.431604700177063094e+00,1.431604700177063094e+00,-6.241169000989348348e+01,-6.241169000989348348e+01,-1.902201034382878353e+00,-7.243950096017077733e+00,-3.890108421060569199e+00,1.057015367460261324e+01,-6.798116288667431206e+01,-9.423011584369170635e+01,-1.509738487519451766e+01,-6.216232599968369499e+01,-6.216232599968369499e+01,-4.162865430688272994e+01,-4.162865430688272994e+01,-6.241169000989348348e+01,-6.241169000989348348e+01,1.291007433668092652e+01,-4.470444432515432887e+00,1.307182022975591773e-01,6.890900918271011477e+00,-6.239149369387325805e+01,-6.239149369387325805e+01,-3.562969286719148698e+00,4.853493012576813470e+01,2.181750446886998773e+01,5.837858455552718340e+01
0.000000000000000000e+00,0.000000000000000000e+00,nan,6.262407539858784844e+01,6.266763086406683669e+01,6.265610486655231171e+01,nan,nan,6.858516233234912818e+01,6.858516233234912818e+01,6.858516233234912818e+01,nan,nan,6.679111540697203964e+01,6.667949245793120383e+01,6.705619358246283923e+01,6.570528037281525258e+01,-3.688721822881720414e+01,-5.282441859117331262e+01,6.259925227571156370e+01,4.517095487134630361e+01,4.517095487134630361e+01,6.198141777746099024e+01,6.198141777746099024e+01,nan,nan,6.419701312864462750e+01,6.642033101635595926e+01,6.559551610902612140e+01,6.527051651960006495e+01,2.859448681582297525e+01,2.859448681582297525e+01,6.361168704922936712e+01,6.399457098652258935e+01,6.580096274917578114e+01,6.420450561595218630e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.262407539858784844e+01,6.266763086406683669e+01,6.265610486655231171e+01,nan,nan,6.858516233234912818e+01,6.858516233234912818e+01,6.858516233234912818e+01,nan,nan,6.679111540697203964e+01,6.667949245793120383e+01,6.705619358246283923e+01,6.570528037281525258e+01,-3.688721822881720414e+01,-5.282441859117331262e+01,6.259925227571156370e+01,4.517095487134630361e+01,4.517095487134630361e+01,6.198141777746099024e+01,6.198141777746099024e+01,nan,nan,6.419701312864462750e+01,6.642033101635595926e+01,6.559551610902612140e+01,6.527051651960006495e+01,2.859448681582297525e+01,2.859448681582297525e+01,6.361168704922936712e+01,6.399457098652258935e+01,6.580096274917578114e+01,6.420450561595218630e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.340914457354141831e+00,-5.473365285196918784e+00,-6.262407539858784844e+01,-6.262407539858784844e+01,4.048564769539344382e-02,4.048564769539344382e-02,4.048564769539344382e-02,-6.262407539858784844e+01,-6.262407539858784844e+01,-3.234890177111687137e+00,-8.028179300135436236e+00,-4.964911896914854239e+00,6.142645628015420911e+00,-6.815812109012104258e+01,-9.483797133600026541e+01,-1.674823026578442864e+01,-6.237648812419264033e+01,-6.237648812419264033e+01,-1.112544780406834377e+01,-1.112544780406834377e+01,-6.262407539858784844e+01,-6.262407539858784844e+01,1.462603377611295485e+01,-5.692196304800497764e+00,-2.179115808942019505e+00,2.978359264730443545e+00,-6.260400030502634650e+01,-6.260400030502634650e+01,-4.610489515764030877e+00,1.981676442386235593e+01,1.412004567762632767e+01,2.223303008838390582e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.586282965050773974e+01,-6.266763086406683669e+01,-6.266763086406683669e+01,1.467418278722044112e-01,1.467418278722044112e-01,1.467418278722044112e-01,-6.266763086406683669e+01,-6.266763086406683669e+01,-3.147935803301385782e+00,-8.001257397255701065e+00,-4.903935669986686285e+00,6.441348916081260256e+00,-6.816548614082877577e+01,-9.489054175621717491e+01,-1.678996263066337491e+01,-6.241961931050840917e+01,-6.241961931050840917e+01,-1.097324984316074925e+01,-1.097324984316074925e+01,-6.266763086406683669e+01,-6.266763086406683669e+01,1.574607002506024678e+01,-5.632713370064410086e+00,-2.027579618649570481e+00,3.233693875886333391e+00,-6.264750981631454607e+01,-6.264750981631454607e+01,-4.488772700028165197e+00,2.035720246398235744e+01,1.459336610738861495e+01,2.287134749844126702e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.265610486655231171e+01,-6.265610486655231171e+01,8.286741272791482704e-02,8.286741272791482704e-02,8.286741272791482704e-02,-6.265610486655231171e+01,-6.265610486655231171e+01,-3.211602264739328749e+00,-8.041742098418653839e+00,-4.956511720889412942e+00,6.296983558824889471e+00,-6.816512714370941239e+01,-9.487417415571749757e+01,-1.684563913657888889e+01,-6.240827784514824828e+01,-6.240827784514824828e+01,-1.113086937070704430e+01,-1.113086937070704430e+01,-6.265610486655231171e+01,-6.265610486655231171e+01,1.527605591250399719e+01,-5.689994953532613309e+00,-2.131180133848729952e+00,3.097971666691402781e+00,-6.263600439339024462e+01,-6.263600439339024462e+01,-4.579098707793530565e+00,2.014207813961392901e+01,1.439945919134414964e+01,2.263258444740471020e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,6.858516233234912818e+01,6.858516233234912818e+01,6.858516233234912818e+01,nan,nan,6.679111540697203964e+01,6.667949245793120383e+01,6.705619358246283923e+01,6.570528037281525258e+01,-3.688721822881720414e+01,-5.282441859117331262e+01,6.259925227571156370e+01,4.517095487134630361e+01,4.517095487134630361e+01,6.198141777746099024e+01,6.198141777746099024e+01,nan,nan,6.419701312864462750e+01,6.642033101635595926e+01,6.559551610902612140e+01,6.527051651960006495e+01,2.859448681582297525e+01,2.859448681582297525e+01,6.361168704922936712e+01,6.399457098652258935e+01,6.580096274917578114e+01,6.420450561595218630e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.858516233234912818e+01,6.858516233234912818e+01,6.858516233234912818e+01,nan,nan,6.679111540697203964e+01,6.667949245793120383e+01,6.705619358246283923e+01,6.570528037281525258e+01,-3.688721822881720414e+01,-5.282441859117331262e+01,6.259925227571156370e+01,4.517095487134630361e+01,4.517095487134630361e+01,6.198141777746099024e+01,6.198141777746099024e+01,nan,nan,6.419701312864462750e+01,6.642033101635595926e+01,6.559551610902612140e+01,6.527051651960006495e+01,2.859448681582297525e+01,2.859448681582297525e+01,6.361168704922936712e+01,6.399457098652258935e+01,6.580096274917578114e+01,6.420450561595218630e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,-6.858516233234912818e+01,-6.858516233234912818e+01,-1.709031109019183248e+01,-8.487322052039532139e+01,-5.269018214930770938e+01,6.186089863882576090e+00,-7.013427009639248411e+01,-1.026366635494265296e+02,-1.345162255576219756e+01,-6.831170105350921062e+01,-6.831170105350921062e+01,-3.846274780304539842e+00,-3.846274780304539842e+00,-6.858516233234912818e+01,-6.858516233234912818e+01,3.456014291030531815e+00,-2.055398779139043342e+01,-2.744464194531053280e+00,2.684914356616157960e+00,-6.856182239012765933e+01,-6.856182239012765933e+01,-3.566451848641443600e+00,7.775303228954824952e+00,1.097011292533610494e+01,8.230282220003015681e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,-6.858516233234912818e+01,-6.858516233234912818e+01,-1.709031109019183248e+01,-8.487322052039532139e+01,-5.269018214930770938e+01,6.186089863882576090e+00,-7.013427009639248411e+01,-1.026366635494265296e+02,-1.345162255576219756e+01,-6.831170105350921062e+01,-6.831170105350921062e+01,-3.846274780304539842e+00,-3.846274780304539842e+00,-6.858516233234912818e+01,-6.858516233234912818e+01,3.456014291030531815e+00,-2.055398779139043342e+01,-2.744464194531053280e+00,2.684914356616157960e+00,-6.856182239012765933e+01,-6.856182239012765933e+01,-3.566451848641443600e+00,7.775303228954824952e+00,1.097011292533610494e+01,8.230282220003015681e+00
