# lasso,enet,plsridge,plslasso,plsenet,pmlasso,pmenet,pmplsridge,pmplslasso,pmplsenet,msklasso,mskenet,mskplsridge,mskplslasso,mskplsenet,msknsridge,msknslasso,msknsenet,tsklasso,tskenet,tskplsridge,tskplslasso,tskplsenet,tsknsridge,tsknslasso,tsknsenet,ridge,mskridge,pmridge,tskridge
0.000000000000000000e+00,nan,6.374246322998594394e+01,6.379528359486944566e+01,6.377658190897486890e+01,nan,nan,7.422548956828774180e+01,7.422548956828774180e+01,7.422548956828774180e+01,nan,nan,7.070800709079078672e+01,7.163026894768795216e+01,7.163385500766000291e+01,6.631805659164470512e+01,-1.840597567258157952e+01,-4.857946854060199371e+01,nan,nan,6.729362901021617915e+01,6.836270226030976005e+01,6.796656596926996485e+01,6.612664621425889777e+01,2.759639631048671404e+01,2.759639631048671404e+01,6.200201167597541740e+01,6.422786984044708447e+01,6.636538156180108672e+01,6.436689562890111915e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.374246322998594394e+01,6.379528359486944566e+01,6.377658190897486890e+01,nan,nan,7.422548956828774180e+01,7.422548956828774180e+01,7.422548956828774180e+01,nan,nan,7.070800709079078672e+01,7.163026894768795216e+01,7.163385500766000291e+01,6.631805659164470512e+01,-1.840597567258157952e+01,-4.857946854060199371e+01,nan,nan,6.729362901021617915e+01,6.836270226030976005e+01,6.796656596926996485e+01,6.612664621425889777e+01,2.759639631048671404e+01,2.759639631048671404e+01,6.200201167597541740e+01,6.422786984044708447e+01,6.636538156180108672e+01,6.436689562890111915e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.928402964081394888e+00,5.345503511684652764e-01,-6.374246322998594394e+01,-6.374246322998594394e+01,-3.556454444842847895e+00,-3.556454444842847895e+00,-3.556454444842847895e+00,-6.374246322998594394e+01,-6.374246322998594394e+01,-7.161224488188926429e+00,-6.924465944042616172e+00,-6.298428945651095567e+00,1.478514832134891854e+01,-4.456691207643418551e+01,-9.755176491605398326e+01,-6.374246322998594394e+01,-6.374246322998594394e+01,-7.769238012946900973e+00,-7.855104534978225139e+00,-7.567241035309520747e+00,9.705547580024548537e+00,-6.372324042005317324e+01,-6.372324042005317324e+01,-7.831559249098771325e+00,2.374152708448503191e+01,2.285037579655024587e+01,2.358617948998536207e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.730966061921131782e+00,-6.379528359486944566e+01,-6.379528359486944566e+01,-3.560978730219300115e+00,-3.560978730219300115e+00,-3.560978730219300115e+00,-6.379528359486944566e+01,-6.379528359486944566e+01,-7.186053524360310085e+00,-6.945593992050567600e+00,-6.317489355288484099e+00,1.508478854643241363e+01,-4.456934437210104960e+01,-9.759624360227181228e+01,-6.379528359486944566e+01,-6.379528359486944566e+01,-7.817195339851096492e+00,-7.895068551854397931e+00,-7.608551682100330282e+00,9.911356827520474866e+00,-6.377602739415323896e+01,-6.377602739415323896e+01,-7.832819452982707986e+00,2.378654750980151178e+01,2.324878948672426304e+01,2.366085361311976598e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.377658190897486890e+01,-6.377658190897486890e+01,-3.567280475997059330e+00,-3.567280475997059330e+00,-3.567280475997059330e+00,-6.377658190897486890e+01,-6.377658190897486890e+01,-7.186455387546409668e+00,-6.946262570589637697e+00,-6.319410991959919954e+00,1.494193928468065558e+01,-4.456984427801581461e+01,-9.758119316205106486e+01,-6.377658190897486890e+01,-6.377658190897486890e+01,-7.814329481983722125e+00,-7.892322595456978895e+00,-7.606415320898873844e+00,9.802893279361615697e+00,-6.375734162049226228e+01,-6.375734162049226228e+01,-7.863589262438225092e+00,2.374805763037664619e+01,2.307469278674133761e+01,2.361102713935938979e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,7.422548956828774180e+01,7.422548956828774180e+01,7.422548956828774180e+01,nan,nan,7.070800709079078672e+01,7.163026894768795216e+01,7.163385500766000291e+01,6.631805659164470512e+01,-1.840597567258157952e+01,-4.857946854060199371e+01,nan,nan,6.729362901021617915e+01,6.836270226030976005e+01,6.796656596926996485e+01,6.612664621425889777e+01,2.759639631048671404e+01,2.759639631048671404e+01,6.200201167597541740e+01,6.422786984044708447e+01,6.636538156180108672e+01,6.436689562890111915e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.422548956828774180e+01,7.422548956828774180e+01,7.422548956828774180e+01,nan,nan,7.070800709079078672e+01,7.163026894768795216e+01,7.163385500766000291e+01,6.631805659164470512e+01,-1.840597567258157952e+01,-4.857946854060199371e+01,nan,nan,6.729362901021617915e+01,6.836270226030976005e+01,6.796656596926996485e+01,6.612664621425889777e+01,2.759639631048671404e+01,2.759639631048671404e+01,6.200201167597541740e+01,6.422786984044708447e+01,6.636538156180108672e+01,6.436689562890111915e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,-7.422548956828774180e+01,-7.422548956828774180e+01,-1.058819102024555292e+01,-2.521529709144040510e+01,-1.278772735479028277e+01,8.065881396875200338e+00,-4.459103876134695810e+01,-1.028816108124198649e+02,-7.422548956828774180e+01,-7.422548956828774180e+01,-1.046438427591572795e+00,-3.696002456743896492e+00,-2.051497401625169026e+00,6.927743886684647023e+00,-7.419459285673944748e+01,-7.419459285673944748e+01,1.323755336891321743e+00,8.390704476107227805e+00,9.467065462683175170e+00,8.192294315498283908e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,-7.422548956828774180e+01,-7.422548956828774180e+01,-1.058819102024555292e+01,-2.521529709144040510e+01,-1.278772735479028277e+01,8.065881396875200338e+00,-4.459103876134695810e+01,-1.028816108124198649e+02,-7.422548956828774180e+01,-7.422548956828774180e+01,-1.046438427591572795e+00,-3.696002456743896492e+00,-2.051497401625169026e+00,6.927743886684647023e+00,-7.419459285673944748e+01,-7.419459285673944748e+01,1.323755336891321743e+00,8.390704476107227805e+00,9.467065462683175170e+00,8.192294315498283908e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.422548956828774180e+01,-7.422548956828774180e+01,-1.058819102024555292e+01,-2.521529709144040510e+01,-1.278772735479028277e+01,8.065881396875200338e+00,-4.459103876134695810e+01,-1.028816108124198649e+02,-7.422548956828774180e+01,-7.422548956828774180e+01,-1.046438427591572795e+00,-3.696002456743896492e+00,-2.051497401625169026e+00,6.927743886684647023e+00,-7.419459285673944748e+01,-7.419459285673944748e+01,1.323755336891321743e+00,8.390704476107227805e+00,9.467065462683175170e+00,8.192294315498283908e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,7.070800709079078672e+01,7.163026894768795216e+01,7.163385500766000291e+01,6.631805659164470512e+01,-1.840597567258157952e+01,-4.857946854060199371e+01,nan,nan,6.729362901021617915e+01,6.836270226030976005e+01,6.796656596926996485e+01,6.612664621425889777e+01,2.759639631048671404e+01,2.759639631048671404e+01,6.200201167597541740e+01,6.422786984044708447e+01,6.636538156180108672e+01,6.436689562890111915e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.070800709079078672e+01,7.163026894768795216e+01,7.163385500766000291e+01,6.631805659164470512e+01,-1.840597567258157952e+01,-4.857946854060199371e+01,nan,nan,6.729362901021617915e+01,6.836270226030976005e+01,6.796656596926996485e+01,6.612664621425889777e+01,2.759639631048671404e+01,2.759639631048671404e+01,6.200201167597541740e+01,6.422786984044708447e+01,6.636538156180108672e+01,6.436689562890111915e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.164993426467383131e+00,5.169815104014034546e+00,1.368538178620956636e+01,-4.403724902541897279e+01,-1.014011163638909494e+02,-7.070800709079078672e+01,-7.070800709079078672e+01,5.037699532009774828e+00,3.442666460166393438e+00,4.872544395621089208e+00,1.238004300303794913e+01,-7.067978289412593540e+01,-7.067978289412593540e+01,4.464817898533907758e+00,1.273107999621639941e+01,1.517894632902161689e+01,1.261977470276438673e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.728631819067900821e+01,1.254822242940959676e+01,-4.397985639250709511e+01,-1.013470220785510350e+02,-7.163026894768795216e+01,-7.163026894768795216e+01,5.088406465766679432e+00,4.062800353091135186e+00,5.021171617678193755e+00,1.138526010820389800e+01,-7.160038965080190110e+01,-7.160038965080190110e+01,4.509237065055637927e+00,1.193661948301126330e+01,1.389033789422032683e+01,1.181261469076694581e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.214364528611938354e+01,-4.413604830853971350e+01,-1.017277200406506950e+02,-7.163385500766000291e+01,-7.163385500766000291e+01,3.501265171804527565e+00,1.599610088957579057e+00,3.069641771610724046e+00,1.090312994126669288e+01,-7.160475963909850350e+01,-7.160475963909850350e+01,3.769160071277262158e+00,1.158967107813909259e+01,1.358656963973362863e+01,1.145197915339980099e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.534383215048448079e+01,-1.001961284415960876e+02,-6.631805659164470512e+01,-6.631805659164470512e+01,-1.901411302711794349e+01,-1.678096908747028948e+01,-1.733469278395903501e+01,-1.384730198851631577e+01,-6.629909153069210959e+01,-6.629909153069210959e+01,-2.306758582839978899e+01,8.606981327926236602e+00,2.858223467354479652e+01,7.396907487990865171e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.699574198952035486e-01,1.840597567258157952e+01,1.840597567258157952e+01,4.409331991027803355e+01,4.399094603009071847e+01,4.406781101793907141e+01,4.510728257129105856e+01,1.841837131964615182e+01,1.841837131964615182e+01,4.403225219838284943e+01,4.544362427496687928e+01,4.556933400549440449e+01,4.538498390461508336e+01
