# tskpca                 ,tskhar                   ,tskvae                    ,tskenethar                ,tsklassohar               ,tskenetpca                ,tsklassopca               ,tskenetvae                ,tsklassovae               ,mskpca                    ,mskhar                    ,mskvae                    ,mskenethar                ,msklassohar               ,mskenetpca                ,msklassopca               ,mskenetvae                ,msklassovae               ,pmpca                     ,pmhar                     ,pmvae                     ,pmenethar                 ,pmlassohar                ,pmenetpca                 ,pmlassopca                ,pmenetvae                 ,pmlassovae                ,vae                       ,pca                       ,har                       ,enethar                   ,lassohar                  ,enetpca                   ,lassopca                  ,enetvae                   ,lassovae
0.000000000000000000e+00 ,1.194600234071020282e+02 ,5.644125518613986259e+01  ,-3.137274641715879753e+01 ,-3.137274641715879753e+01 ,-3.140831382723141374e+01 ,-3.140831382723141374e+01 ,-3.140831382723141374e+01 ,-3.140831382723141374e+01 ,4.173324824767020047e+00  ,1.248496446371662216e+02  ,7.682846902765854225e+01  ,-3.137274641715879753e+01 ,-3.137274641715879753e+01 ,-3.140831382723141374e+01 ,-3.140831382723141374e+01 ,-3.140831382723141374e+01 ,-3.140831382723141374e+01 ,1.899234806454941449e+01  ,1.053964984405315590e+02  ,-3.093012560459971994e+01 ,-3.137274641715879753e+01 ,-3.137274641715879753e+01 ,-3.140831382723141374e+01 ,-3.140831382723141374e+01 ,-3.140831382723141374e+01 ,-3.140831382723141374e+01 ,-6.623706202412580524e+01 ,-2.788021434444886282e+01 ,1.348416479366522367e+02  ,-3.137274641715879753e+01 ,-3.137274641715879753e+01 ,-2.443767390243111848e+01 ,-3.141909678594012334e+01 ,-3.140831410577216332e+01 ,-3.140831410577216332e+01
0.000000000000000000e+00 ,0.000000000000000000e+00 ,-1.151542157587912527e+02 ,-6.752493094787625694e+01 ,-6.752493094787625694e+01 ,-6.754977579226230944e+01 ,-6.754977579226230944e+01 ,-6.754977579226230944e+01 ,-6.754977579226230944e+01 ,-1.162342004850616348e+02 ,-5.380710570427836181e+00 ,-1.191841247817547185e+02 ,-6.752493094787625694e+01 ,-6.752493094787625694e+01 ,-6.754977579226230944e+01 ,-6.754977579226230944e+01 ,-6.754977579226230944e+01 ,-6.754977579226230944e+01 ,-1.122094395432803680e+02 ,-2.725352777649476366e+00 ,-6.728266105049171131e+01 ,-6.752493094787625694e+01 ,-6.752493094787625694e+01 ,-6.754977579226230944e+01 ,-6.754977579226230944e+01 ,-6.754977579226230944e+01 ,-6.754977579226230944e+01 ,-8.641818358209866346e+01 ,-1.111318827721231628e+02 ,-1.516920048431609880e+00 ,-6.752493094787625694e+01 ,-6.752493094787625694e+01 ,-9.519729078068016292e+01 ,-6.775413357255470714e+01 ,-6.754977604923524837e+01 ,-6.754977604923524837e+01
0.000000000000000000e+00 ,0.000000000000000000e+00 ,0.000000000000000000e+00  ,-5.348434613547267702e+01 ,-5.348434613547267702e+01 ,-5.351452943196296275e+01 ,-5.351452943196296275e+01 ,-5.351452943196296275e+01 ,-5.351452943196296275e+01 ,-5.137615101487582336e+01 ,1.142469956147998715e+02  ,5.290910881355703310e+01  ,-5.348434613547267702e+01 ,-5.348434613547267702e+01 ,-5.351452943196296275e+01 ,-5.351452943196296275e+01 ,-5.351452943196296275e+01 ,-5.351452943196296275e+01 ,-4.846794592683784231e+01 ,1.066278146205536075e+02  ,-5.312736857518536482e+01 ,-5.348434613547267702e+01 ,-5.348434613547267702e+01 ,-5.351452943196296275e+01 ,-5.351452943196296275e+01 ,-5.351452943196296275e+01 ,-5.351452943196296275e+01 ,-7.585373005542541591e+01 ,-6.305475574942083483e+01 ,1.052629449392565135e+02  ,-5.348434613547267702e+01 ,-5.348434613547267702e+01 ,-6.909311568427462191e+01 ,-5.365789384450683741e+01 ,-5.351452972286734422e+01 ,-5.351452972286734422e+01
0.000000000000000000e+00 ,0.000000000000000000e+00 ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,nan                       ,-2.066118515744563666e+01 ,-2.066118515744563666e+01 ,-2.066118515744563666e+01 ,-2.066118515744563666e+01 ,3.180782707896064210e+01  ,6.738531624996400637e+01  ,5.759389491564348873e+01  ,nan                       ,nan                       ,-2.066118515744563666e+01 ,-2.066118515744563666e+01 ,-2.066118515744563666e+01 ,-2.066118515744563666e+01 ,3.400284935383614737e+01  ,6.946450359783815998e+01  ,1.386941555463167752e+01  ,nan                       ,nan                       ,-2.066118515744563666e+01 ,-2.066118515744563666e+01 ,-2.066118515744563666e+01 ,-2.066118515744563666e+01 ,-4.045621394591260866e+01 ,2.559560295071135272e+01  ,6.646302506489305983e+01  ,nan                       ,nan                       ,3.284955402159883420e+01  ,1.665871649940382682e+01  ,-2.066128976527362937e+01 ,-2.066128976527362937e+01
0.000000000000000000e+00 ,0.000000000000000000e+00 ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,-2.066118515744563666e+01 ,-2.066118515744563666e+01 ,-2.066118515744563666e+01 ,-2.066118515744563666e+01 ,3.180782707896064210e+01  ,6.738531624996400637e+01  ,5.759389491564348873e+01  ,nan                       ,nan                       ,-2.066118515744563666e+01 ,-2.066118515744563666e+01 ,-2.066118515744563666e+01 ,-2.066118515744563666e+01 ,3.400284935383614737e+01  ,6.946450359783815998e+01  ,1.386941555463167752e+01  ,nan                       ,nan                       ,-2.066118515744563666e+01 ,-2.066118515744563666e+01 ,-2.066118515744563666e+01 ,-2.066118515744563666e+01 ,-4.045621394591260866e+01 ,2.559560295071135272e+01  ,6.646302506489305983e+01  ,nan                       ,nan                       ,3.284955402159883420e+01  ,1.665871649940382682e+01  ,-2.066128976527362937e+01 ,-2.066128976527362937e+01
0.000000000000000000e+00 ,0.000000000000000000e+00 ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,nan                       ,nan                       ,nan                       ,3.170617497287692998e+01  ,6.741132557385415680e+01  ,5.762568726246112760e+01  ,2.066118515744563666e+01  ,2.066118515744563666e+01  ,nan                       ,nan                       ,nan                       ,nan                       ,3.404253376633656814e+01  ,6.948680297068077039e+01  ,1.431969484710224272e+01  ,2.066118515744563666e+01  ,2.066118515744563666e+01  ,nan                       ,nan                       ,nan                       ,nan                       ,-4.043290523435683070e+01 ,2.562990621743487551e+01  ,6.649084366845765715e+01  ,2.066118515744563666e+01  ,2.066118515744563666e+01  ,3.294336222697558725e+01  ,2.583782695778034721e+01  ,-6.390295507201629022e+01 ,-6.390295507201629022e+01
0.000000000000000000e+00 ,0.000000000000000000e+00 ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,nan                       ,nan                       ,3.170617497287692998e+01  ,6.741132557385415680e+01  ,5.762568726246112760e+01  ,2.066118515744563666e+01  ,2.066118515744563666e+01  ,nan                       ,nan                       ,nan                       ,nan                       ,3.404253376633656814e+01  ,6.948680297068077039e+01  ,1.431969484710224272e+01  ,2.066118515744563666e+01  ,2.066118515744563666e+01  ,nan                       ,nan                       ,nan                       ,nan                       ,-4.043290523435683070e+01 ,2.562990621743487551e+01  ,6.649084366845765715e+01  ,2.066118515744563666e+01  ,2.066118515744563666e+01  ,3.294336222697558725e+01  ,2.583782695778034721e+01  ,-6.390295507201629022e+01 ,-6.390295507201629022e+01
0.000000000000000000e+00 ,0.000000000000000000e+00 ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,nan                       ,3.170617497287692998e+01  ,6.741132557385415680e+01  ,5.762568726246112760e+01  ,2.066118515744563666e+01  ,2.066118515744563666e+01  ,nan                       ,nan                       ,nan                       ,nan                       ,3.404253376633656814e+01  ,6.948680297068077039e+01  ,1.431969484710224272e+01  ,2.066118515744563666e+01  ,2.066118515744563666e+01  ,nan                       ,nan                       ,nan                       ,nan                       ,-4.043290523435683070e+01 ,2.562990621743487551e+01  ,6.649084366845765715e+01  ,2.066118515744563666e+01  ,2.066118515744563666e+01  ,3.294336222697558725e+01  ,2.583782695778034721e+01  ,-6.390295507201629022e+01 ,-6.390295507201629022e+01
0.000000000000000000e+00 ,0.000000000000000000e+00 ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,3.170617497287692998e+01  ,6.741132557385415680e+01  ,5.762568726246112760e+01  ,2.066118515744563666e+01  ,2.066118515744563666e+01  ,nan                       ,nan                       ,nan                       ,nan                       ,3.404253376633656814e+01  ,6.948680297068077039e+01  ,1.431969484710224272e+01  ,2.066118515744563666e+01  ,2.066118515744563666e+01  ,nan                       ,nan                       ,nan                       ,nan                       ,-4.043290523435683070e+01 ,2.562990621743487551e+01  ,6.649084366845765715e+01  ,2.066118515744563666e+01  ,2.066118515744563666e+01  ,3.294336222697558725e+01  ,2.583782695778034721e+01  ,-6.390295507201629022e+01 ,-6.390295507201629022e+01
0.000000000000000000e+00 ,0.000000000000000000e+00 ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,1.218358680064159785e+02  ,7.302035408564950103e+01  ,-3.180782707896064210e+01 ,-3.180782707896064210e+01 ,-3.184637873990162049e+01 ,-3.184637873990162049e+01 ,-3.184637873990162049e+01 ,-3.184637873990162049e+01 ,2.221603196599879126e+01  ,1.028258666639963508e+02  ,-3.132641199829213008e+01 ,-3.180782707896064210e+01 ,-3.180782707896064210e+01 ,-3.184637873990162049e+01 ,-3.184637873990162049e+01 ,-3.184637873990162049e+01 ,-3.184637873990162049e+01 ,-6.661185702615323123e+01 ,-2.396431820540069779e+01 ,1.305399209165063610e+02  ,-3.180782707896064210e+01 ,-3.180782707896064210e+01 ,-2.555548362177800570e+01 ,-3.185871272203846161e+01 ,-3.184637902326726433e+01 ,-3.184637902326726433e+01
0.000000000000000000e+00 ,0.000000000000000000e+00 ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,-1.244717153139415302e+02 ,-6.738531624996400637e+01 ,-6.738531624996400637e+01 ,-6.741132557385415680e+01 ,-6.741132557385415680e+01 ,-6.741132557385415680e+01 ,-6.741132557385415680e+01 ,-1.177616655743573233e+02 ,-1.747943975532130767e-01 ,-6.711723064472137423e+01 ,-6.738531624996400637e+01 ,-6.738531624996400637e+01 ,-6.741132557385415680e+01 ,-6.741132557385415680e+01 ,-6.741132557385415680e+01 ,-6.741132557385415680e+01 ,-8.630466477550328364e+01 ,-1.136905646581171965e+02 ,1.591007269099486532e+00  ,-6.738531624996400637e+01 ,-6.738531624996400637e+01 ,-9.564510273082362346e+01 ,-6.761614956158490486e+01 ,-6.741132583389899935e+01 ,-6.741132583389899935e+01
