# lasso,enet,plsridge,plslasso,plsenet,pmlasso,pmenet,pmplsridge,pmplslasso,pmplsenet,msklasso,mskenet,mskplsridge,mskplslasso,mskplsenet,msknsridge,msknslasso,msknsenet,tsklasso,tskenet,tskplsridge,tskplslasso,tskplsenet,tsknsridge,tsknslasso,tsknsenet,ridge,mskridge,pmridge,tskridge
0.000000000000000000e+00,nan,4.953277987251209424e+01,4.956644069591992974e+01,4.955050434054566466e+01,nan,nan,5.428443770221051068e+01,5.428443770221051068e+01,5.428443770221051068e+01,nan,nan,5.238797446157037285e+01,5.094590320463135669e+01,5.185567030979742498e+01,5.035005639914259490e+01,-6.692626811100697637e+01,-6.191295819991046301e+01,nan,nan,5.149670973779387140e+01,5.347643138050039369e+01,5.268661429759968939e+01,5.117239130561112148e+01,1.912961980768437931e+00,1.912961980768437931e+00,4.880926699186043294e+01,4.953845939330237513e+01,5.174698041468341358e+01,4.992468484812746965e+01
0.000000000000000000e+00,0.000000000000000000e+00,4.953277987251209424e+01,4.956644069591992974e+01,4.955050434054566466e+01,nan,nan,5.428443770221051068e+01,5.428443770221051068e+01,5.428443770221051068e+01,nan,nan,5.238797446157037285e+01,5.094590320463135669e+01,5.185567030979742498e+01,5.035005639914259490e+01,-6.692626811100697637e+01,-6.191295819991046301e+01,nan,nan,5.149670973779387140e+01,5.347643138050039369e+01,5.268661429759968939e+01,5.117239130561112148e+01,1.912961980768437931e+00,1.912961980768437931e+00,4.880926699186043294e+01,4.953845939330237513e+01,5.174698041468341358e+01,4.992468484812746965e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.390735731883691928e-01,-4.881727520790012931e-01,-4.953277987251209424e+01,-4.953277987251209424e+01,1.040341913730346057e+01,1.040341913730346057e+01,1.040341913730346057e+01,-4.953277987251209424e+01,-4.953277987251209424e+01,-2.119487627844024225e+00,-1.277858890326437447e+01,-6.407429544512456054e+00,1.733296106573093809e+01,-8.334554389009441877e+01,-7.869532429920795380e+01,-4.953277987251209424e+01,-4.953277987251209424e+01,4.562468478590538723e+01,1.026039361538322936e+01,1.983046281627598617e+01,3.296913856113853569e+01,-4.952874242019790074e+01,-4.952874242019790074e+01,1.418170350994899209e+01,1.883225482167264886e+01,3.098891344660264480e+01,2.336542761392086831e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.099129576643882888e+00,-4.956644069591992974e+01,-4.956644069591992974e+01,1.057438390441217990e+01,1.057438390441217990e+01,1.057438390441217990e+01,-4.956644069591992974e+01,-4.956644069591992974e+01,-2.161695305334495387e+00,-1.299211045711078683e+01,-6.520787736587761785e+00,1.731358940149868531e+01,-8.333796801867661941e+01,-7.868808316688541993e+01,-4.956644069591992974e+01,-4.956644069591992974e+01,4.716136841786214262e+01,1.047762715103053743e+01,2.046479744755029273e+01,3.314313965408243945e+01,-4.956246235645248532e+01,-4.956246235645248532e+01,1.412466702209528790e+01,1.875376687960949340e+01,3.125520652067837446e+01,2.328833331454027444e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.955050434054566466e+01,-4.955050434054566466e+01,1.050442831649820796e+01,1.050442831649820796e+01,1.050442831649820796e+01,-4.955050434054566466e+01,-4.955050434054566466e+01,-2.134290707442513924e+00,-1.288747361932601798e+01,-6.461263649504340734e+00,1.734052800247835791e+01,-8.334144508472837742e+01,-7.869135614424635605e+01,-4.955050434054566466e+01,-4.955050434054566466e+01,4.649601112911715717e+01,1.038804669139837600e+01,2.018765073069701899e+01,3.308461932622289225e+01,-4.954649910328369344e+01,-4.954649910328369344e+01,1.415779115253238984e+01,1.879931223093554138e+01,3.115002027984050414e+01,2.333319192489856775e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,5.428443770221051068e+01,5.428443770221051068e+01,5.428443770221051068e+01,nan,nan,5.238797446157037285e+01,5.094590320463135669e+01,5.185567030979742498e+01,5.035005639914259490e+01,-6.692626811100697637e+01,-6.191295819991046301e+01,nan,nan,5.149670973779387140e+01,5.347643138050039369e+01,5.268661429759968939e+01,5.117239130561112148e+01,1.912961980768437931e+00,1.912961980768437931e+00,4.880926699186043294e+01,4.953845939330237513e+01,5.174698041468341358e+01,4.992468484812746965e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.428443770221051068e+01,5.428443770221051068e+01,5.428443770221051068e+01,nan,nan,5.238797446157037285e+01,5.094590320463135669e+01,5.185567030979742498e+01,5.035005639914259490e+01,-6.692626811100697637e+01,-6.191295819991046301e+01,nan,nan,5.149670973779387140e+01,5.347643138050039369e+01,5.268661429759968939e+01,5.117239130561112148e+01,1.912961980768437931e+00,1.912961980768437931e+00,4.880926699186043294e+01,4.953845939330237513e+01,5.174698041468341358e+01,4.992468484812746965e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,-5.428443770221051068e+01,-5.428443770221051068e+01,-5.292304124891681028e+01,-6.178955755931754368e+01,-5.490931122349860516e+01,1.453714265238446046e+00,-8.332185539753231751e+01,-7.853784141595383517e+01,-5.428443770221051068e+01,-5.428443770221051068e+01,1.998433131976383281e+00,-7.822098839931668657e+00,7.702671745172826601e-01,7.523096516713902560e+00,-5.428337341680709471e+01,-5.428337341680709471e+01,4.094490779148142856e+00,5.899843345848102771e+00,1.140765946887566429e+01,8.321991098198745718e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,-5.428443770221051068e+01,-5.428443770221051068e+01,-5.292304124891681028e+01,-6.178955755931754368e+01,-5.490931122349860516e+01,1.453714265238446046e+00,-8.332185539753231751e+01,-7.853784141595383517e+01,-5.428443770221051068e+01,-5.428443770221051068e+01,1.998433131976383281e+00,-7.822098839931668657e+00,7.702671745172826601e-01,7.523096516713902560e+00,-5.428337341680709471e+01,-5.428337341680709471e+01,4.094490779148142856e+00,5.899843345848102771e+00,1.140765946887566429e+01,8.321991098198745718e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.428443770221051068e+01,-5.428443770221051068e+01,-5.292304124891681028e+01,-6.178955755931754368e+01,-5.490931122349860516e+01,1.453714265238446046e+00,-8.332185539753231751e+01,-7.853784141595383517e+01,-5.428443770221051068e+01,-5.428443770221051068e+01,1.998433131976383281e+00,-7.822098839931668657e+00,7.702671745172826601e-01,7.523096516713902560e+00,-5.428337341680709471e+01,-5.428337341680709471e+01,4.094490779148142856e+00,5.899843345848102771e+00,1.140765946887566429e+01,8.321991098198745718e+00
