# ridge,lasso,enet,plsridge,plslasso,plsenet,pmridge,pmlasso,pmenet,pmplsridge,pmplslasso,pmplsenet,mskridge,msklasso,mskenet,mskplsridge,mskplslasso,mskplsenet,tskridge,tsklasso,tskenet,tskplsridge,tskplslasso,tskplsenet
0.000000000000000000e+00,-4.405600608513549332e+01,-4.405600608513549332e+01,-1.526381628513181932e+00,-1.578672857529051177e+00,-1.560502707869855010e+00,8.739467017614286348e+00,-4.405600608513549332e+01,-4.405600608513549332e+01,-1.838861642484584502e+00,-1.838861642484584502e+00,-1.838861642484584502e+00,1.757671454137519262e+01,-4.405600608513549332e+01,-4.405600608513549332e+01,-3.511578475451763381e+00,-6.418291312352480738e+00,-5.791477266446675820e+00,1.943492132077322410e+01,-4.405600608513549332e+01,-4.405600608513549332e+01,8.376283324698838850e-01,-2.614707711286066161e+00,-1.316916340882090974e+00
0.000000000000000000e+00,0.000000000000000000e+00,nan,4.569593947658677280e+01,4.573084271714368754e+01,4.571846796324418705e+01,4.727424587278660084e+01,nan,nan,4.994990062153537025e+01,4.994990062153537025e+01,4.994990062153537025e+01,4.539650367943048792e+01,nan,nan,4.883742583658093395e+01,4.864292375109855726e+01,4.860501002369684898e+01,4.578319221655054605e+01,nan,nan,4.674736889721086897e+01,4.894786127911055473e+01,4.801405237853904850e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.569593947658677280e+01,4.573084271714368754e+01,4.571846796324418705e+01,4.727424587278660084e+01,nan,nan,4.994990062153537025e+01,4.994990062153537025e+01,4.994990062153537025e+01,4.539650367943048792e+01,nan,nan,4.883742583658093395e+01,4.864292375109855726e+01,4.860501002369684898e+01,4.578319221655054605e+01,nan,nan,4.674736889721086897e+01,4.894786127911055473e+01,4.801405237853904850e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.421331545616592695e+00,-3.743264687149641556e+00,2.111182234365167076e+01,-4.569593947658677280e+01,-4.569593947658677280e+01,-1.555048215693823233e+00,-1.555048215693823233e+00,-1.555048215693823233e+00,1.403841886604803513e+01,-4.569593947658677280e+01,-4.569593947658677280e+01,-4.274160117609888232e+00,-8.689196254564683031e+00,-7.835325641019305287e+00,1.864945827124531164e+01,-4.569593947658677280e+01,-4.569593947658677280e+01,1.003576904661217384e+01,-3.007552687057478025e+00,-4.482428561256638355e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.875115528595699743e+00,2.171121595164807161e+01,-4.573084271714368754e+01,-4.573084271714368754e+01,-1.522903472987787499e+00,-1.522903472987787499e+00,-1.522903472987787499e+00,1.404778537036639108e+01,-4.573084271714368754e+01,-4.573084271714368754e+01,-4.282775594770022565e+00,-8.757347845774770434e+00,-7.894929047541243250e+00,1.862240096814240076e+01,-4.573084271714368754e+01,-4.573084271714368754e+01,1.070487517366755981e+01,-2.991977635109179801e+00,-3.550060463412201828e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.145248835237861940e+01,-4.571846796324418705e+01,-4.571846796324418705e+01,-1.533330054704757472e+00,-1.533330054704757472e+00,-1.533330054704757472e+00,1.404014841951352466e+01,-4.571846796324418705e+01,-4.571846796324418705e+01,-4.276464559637381591e+00,-8.728219069335578340e+00,-7.868949166368071957e+00,1.862299800736406041e+01,-4.571846796324418705e+01,-4.571846796324418705e+01,1.048357757797290724e+01,-2.995458834230035006e+00,-3.878617786588353100e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.727424587278660084e+01,-4.727424587278660084e+01,-1.102729562631490978e+01,-1.102729562631490978e+01,-1.102729562631490978e+01,2.944141131819418167e+00,-4.727424587278660084e+01,-4.727424587278660084e+01,-1.518195909612164129e+01,-1.870817486225611148e+01,-1.829438431050926184e+01,5.769566765263553165e+00,-4.727424587278660084e+01,-4.727424587278660084e+01,-1.560824490946863641e+01,-1.475510699282034288e+01,-1.619711929838958042e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,4.994990062153537025e+01,4.994990062153537025e+01,4.994990062153537025e+01,4.539650367943048792e+01,nan,nan,4.883742583658093395e+01,4.864292375109855726e+01,4.860501002369684898e+01,4.578319221655054605e+01,nan,nan,4.674736889721086897e+01,4.894786127911055473e+01,4.801405237853904850e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.994990062153537025e+01,4.994990062153537025e+01,4.994990062153537025e+01,4.539650367943048792e+01,nan,nan,4.883742583658093395e+01,4.864292375109855726e+01,4.860501002369684898e+01,4.578319221655054605e+01,nan,nan,4.674736889721086897e+01,4.894786127911055473e+01,4.801405237853904850e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,8.171905683116548857e+00,-4.994990062153537025e+01,-4.994990062153537025e+01,-1.705000779670641009e+01,-7.342398618282311418e+01,-6.363275142561126074e+01,9.389263628994049427e+00,-4.994990062153537025e+01,-4.994990062153537025e+01,4.149503455505425542e+00,-2.797366292677747168e+00,2.566347127837670161e+00
