# ridge,lasso,enet,pmridge,pmlasso,pmenet,mskridge,msklasso,mskenet,tskridge,tsklasso,tskenet
0.000000000000000000e+00,-4.859832823667628787e+01,-4.859832823667628787e+01,5.518447623753102604e+00,-4.859832823667628787e+01,-4.859832823667628787e+01,1.005908903435723012e+01,-4.859832823667628787e+01,-4.859832823667628787e+01,1.443700668575047530e+01,-4.859832823667628787e+01,-4.859832823667628787e+01
0.000000000000000000e+00,0.000000000000000000e+00,nan,5.243871068115434042e+01,nan,nan,4.987603269451415855e+01,nan,nan,5.003788356365043200e+01,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.243871068115434042e+01,nan,nan,4.987603269451415855e+01,nan,nan,5.003788356365043200e+01,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.243871068115434042e+01,-5.243871068115434042e+01,-6.210202760472888217e-01,-5.243871068115434042e+01,-5.243871068115434042e+01,2.203027958048166646e+00,-5.243871068115434042e+01,-5.243871068115434042e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,4.987603269451415855e+01,nan,nan,5.003788356365043200e+01,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.987603269451415855e+01,nan,nan,5.003788356365043200e+01,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.987603269451415855e+01,-4.987603269451415855e+01,7.206814429778327202e+00,-4.987603269451415855e+01,-4.987603269451415855e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,5.003788356365043200e+01,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.003788356365043200e+01,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.003788356365043200e+01,-5.003788356365043200e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
