# tskpca,tskhar,tskvae,tskenethar,tsklassohar,tskenetpca,tsklassopca,tskenetvae,tsklassovae,mskpca,mskhar,mskvae,mskenethar,msklassohar,mskenetpca,msklassopca,mskenetvae,msklassovae,pmpca,pmhar,pmvae,pmenethar,pmlassohar,pmenetpca,pmlassopca,pmenetvae,pmlassovae,vae,pca,har,enethar,lassohar,enetpca,lassopca,enetvae,lassovae
0.000000000000000000e+00,1.001220610543960561e+02,5.120411193189517718e+01,-2.801971906774550902e+01,-2.801971906774550902e+01,-2.773541065692721475e+01,-2.773541065692721475e+01,-2.773541065692721475e+01,-2.773541065692721475e+01,5.867774853187320616e+00,1.038184995296196291e+02,7.330432868334624175e+01,-2.801971906774550902e+01,-2.801971906774550902e+01,-2.773541065692721475e+01,-2.773541065692721475e+01,-2.773541065692721475e+01,-2.773541065692721475e+01,1.851434362515212939e+01,9.168935627347566708e+01,-2.766216836245179422e+01,-2.801971906774550902e+01,-2.801971906774550902e+01,-2.773541065692721475e+01,-2.773541065692721475e+01,-2.773541065692721475e+01,-2.773541065692721475e+01,-6.028919905808049151e+01,-3.096006288385271255e+00,1.000209275510876239e+02,-2.801971906774550902e+01,-2.801971906774550902e+01,-1.785370192041219539e+01,-2.776155874218038377e+01,-2.773541051992170381e+01,-2.773541051992170381e+01
0.000000000000000000e+00,0.000000000000000000e+00,-8.708097729235480244e+01,-5.044598246594564017e+01,-5.044598246594564017e+01,-5.017579785805516934e+01,-5.017579785805516934e+01,-5.017579785805516934e+01,-5.017579785805516934e+01,-1.076813610601977871e+02,-8.242961105042507342e+00,-7.945149004301863727e+01,-5.044598246594564017e+01,-5.044598246594564017e+01,-5.017579785805516934e+01,-5.017579785805516934e+01,-5.017579785805516934e+01,-5.017579785805516934e+01,-9.321095269081502011e+01,-2.644353694935149601e+00,-5.006556022656329930e+01,-5.044598246594564017e+01,-5.044598246594564017e+01,-5.017579785805516934e+01,-5.017579785805516934e+01,-5.017579785805516934e+01,-5.017579785805516934e+01,-7.663063234142956048e+01,-9.384982320766977182e+01,-1.276082156554262104e-01,-5.044598246594564017e+01,-5.044598246594564017e+01,-7.338502344217307893e+01,-5.081391902003877448e+01,-5.017579772498979196e+01,-5.017579772498979196e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.174485775568043522e+01,-4.174485775568043522e+01,-4.144976159485106137e+01,-4.144976159485106137e+01,-4.144976159485106137e+01,-4.144976159485106137e+01,-4.731522197283330655e+01,8.600110423713130103e+01,4.398546936897804471e+01,-4.174485775568043522e+01,-4.174485775568043522e+01,-4.144976159485106137e+01,-4.144976159485106137e+01,-4.144976159485106137e+01,-4.144976159485106137e+01,-3.708583007233969653e+01,8.902161357180668233e+01,-4.136966735407142437e+01,-4.174485775568043522e+01,-4.174485775568043522e+01,-4.144976159485106137e+01,-4.144976159485106137e+01,-4.144976159485106137e+01,-4.144976159485106137e+01,-6.803943357687514037e+01,-4.885043825705412956e+01,7.641625806382963049e+01,-4.174485775568043522e+01,-4.174485775568043522e+01,-5.155672323805216450e+01,-4.187997740433511495e+01,-4.144976144996491030e+01,-4.144976144996491030e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,5.132101921938976830e+01,5.132101921938976830e+01,5.132101921938976830e+01,5.132101921938976830e+01,2.756492366756479484e+01,5.050071016506461774e+01,4.373442785467562288e+01,nan,nan,5.132101921938976830e+01,5.132101921938976830e+01,5.132101921938976830e+01,5.132101921938976830e+01,2.958237955472203851e+01,5.247072827888940338e+01,6.962817174754440508e+00,nan,nan,5.132101921938976830e+01,5.132101921938976830e+01,5.132101921938976830e+01,5.132101921938976830e+01,-3.497673204217132081e+01,2.751427147185217947e+01,4.994885731265411266e+01,nan,nan,2.960584776746183167e+01,3.376653217893191794e+01,5.132102772282740943e+01,5.132102772282740943e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.132101921938976830e+01,5.132101921938976830e+01,5.132101921938976830e+01,5.132101921938976830e+01,2.756492366756479484e+01,5.050071016506461774e+01,4.373442785467562288e+01,nan,nan,5.132101921938976830e+01,5.132101921938976830e+01,5.132101921938976830e+01,5.132101921938976830e+01,2.958237955472203851e+01,5.247072827888940338e+01,6.962817174754440508e+00,nan,nan,5.132101921938976830e+01,5.132101921938976830e+01,5.132101921938976830e+01,5.132101921938976830e+01,-3.497673204217132081e+01,2.751427147185217947e+01,4.994885731265411266e+01,nan,nan,2.960584776746183167e+01,3.376653217893191794e+01,5.132102772282740943e+01,5.132102772282740943e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,2.736752948102606453e+01,5.022835188111106675e+01,4.345038737752911118e+01,-5.132101921938976830e+01,-5.132101921938976830e+01,nan,nan,nan,nan,2.929721783203318708e+01,5.219638227886032666e+01,1.191820791369888166e+00,-5.132101921938976830e+01,-5.132101921938976830e+01,nan,nan,nan,nan,-3.514055294186866973e+01,2.722621264165512756e+01,4.967813834412555707e+01,-5.132101921938976830e+01,-5.132101921938976830e+01,2.913021140325284364e+01,2.246641896766922741e+01,7.390832039671910536e+01,7.390832039671910536e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,2.736752948102606453e+01,5.022835188111106675e+01,4.345038737752911118e+01,-5.132101921938976830e+01,-5.132101921938976830e+01,nan,nan,nan,nan,2.929721783203318708e+01,5.219638227886032666e+01,1.191820791369888166e+00,-5.132101921938976830e+01,-5.132101921938976830e+01,nan,nan,nan,nan,-3.514055294186866973e+01,2.722621264165512756e+01,4.967813834412555707e+01,-5.132101921938976830e+01,-5.132101921938976830e+01,2.913021140325284364e+01,2.246641896766922741e+01,7.390832039671910536e+01,7.390832039671910536e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,2.736752948102606453e+01,5.022835188111106675e+01,4.345038737752911118e+01,-5.132101921938976830e+01,-5.132101921938976830e+01,nan,nan,nan,nan,2.929721783203318708e+01,5.219638227886032666e+01,1.191820791369888166e+00,-5.132101921938976830e+01,-5.132101921938976830e+01,nan,nan,nan,nan,-3.514055294186866973e+01,2.722621264165512756e+01,4.967813834412555707e+01,-5.132101921938976830e+01,-5.132101921938976830e+01,2.913021140325284364e+01,2.246641896766922741e+01,7.390832039671910536e+01,7.390832039671910536e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.736752948102606453e+01,5.022835188111106675e+01,4.345038737752911118e+01,-5.132101921938976830e+01,-5.132101921938976830e+01,nan,nan,nan,nan,2.929721783203318708e+01,5.219638227886032666e+01,1.191820791369888166e+00,-5.132101921938976830e+01,-5.132101921938976830e+01,nan,nan,nan,nan,-3.514055294186866973e+01,2.722621264165512756e+01,4.967813834412555707e+01,-5.132101921938976830e+01,-5.132101921938976830e+01,2.913021140325284364e+01,2.246641896766922741e+01,7.390832039671910536e+01,7.390832039671910536e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.137238859759465441e+02,7.534228745874399635e+01,-2.756492366756479484e+01,-2.756492366756479484e+01,-2.728405685404855419e+01,-2.728405685404855419e+01,-2.728405685404855419e+01,-2.728405685404855419e+01,2.142746887827325253e+01,9.248741415902730978e+01,-2.716592639800644804e+01,-2.756492366756479484e+01,-2.756492366756479484e+01,-2.728405685404855419e+01,-2.728405685404855419e+01,-2.728405685404855419e+01,-2.728405685404855419e+01,-6.073804697116231210e+01,-6.955176539397245783e+00,1.110397786330483285e+02,-2.756492366756479484e+01,-2.756492366756479484e+01,-1.880747122311684194e+01,-2.731816276914810615e+01,-2.728405672034975993e+01,-2.728405672034975993e+01
