# ridge,lasso,enet,pls,pmridge,pmlasso,pmenet,pmpls,mskridge,msklasso,mskenet,mskpls,tskridge,tsklasso,tskenet,tskpls
0.000000000000000000e+00,-4.429007822437412756e+01,-4.429007822437412756e+01,-1.141466053197902752e+01,8.713542714107390452e+00,-4.429007822437412756e+01,-4.429007822437412756e+01,3.211260154092821395e+00,1.295462333496685758e+01,-4.429007822437412756e+01,-4.429007822437412756e+01,-6.452889886585639445e+00,1.655578636204874954e+01,-4.429007822437412756e+01,-4.429007822437412756e+01,-7.620172343303013740e+00
0.000000000000000000e+00,0.000000000000000000e+00,nan,4.585921372404184382e+01,4.623984815208161336e+01,nan,nan,4.640494597485388084e+01,4.524062693119734035e+01,nan,nan,4.518163878635901654e+01,4.563124776592572829e+01,nan,nan,4.644563751936036766e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.585921372404184382e+01,4.623984815208161336e+01,nan,nan,4.640494597485388084e+01,4.524062693119734035e+01,nan,nan,4.518163878635901654e+01,4.563124776592572829e+01,nan,nan,4.644563751936036766e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.959746496844439179e+01,-4.585921372404184382e+01,-4.585921372404184382e+01,3.454453952542838380e+01,1.914445046633645475e+01,-4.585921372404184382e+01,-4.585921372404184382e+01,1.767295673984382631e+01,2.347671088798081485e+01,-4.585921372404184382e+01,-4.585921372404184382e+01,4.286139295604824184e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.623984815208161336e+01,-4.623984815208161336e+01,-1.213201770294825899e+01,6.069454512573690952e-01,-4.623984815208161336e+01,-4.623984815208161336e+01,-3.897793153146336920e+01,6.757934548650729845e+00,-4.623984815208161336e+01,-4.623984815208161336e+01,-2.308026311064805469e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,4.640494597485388084e+01,4.524062693119734035e+01,nan,nan,4.518163878635901654e+01,4.563124776592572829e+01,nan,nan,4.644563751936036766e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.640494597485388084e+01,4.524062693119734035e+01,nan,nan,4.518163878635901654e+01,4.563124776592572829e+01,nan,nan,4.644563751936036766e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.011695351154706657e+00,-4.640494597485388084e+01,-4.640494597485388084e+01,-7.032419181162237010e+01,9.615337137976688098e+00,-4.640494597485388084e+01,-4.640494597485388084e+01,-2.548617607536863972e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.524062693119734035e+01,-4.524062693119734035e+01,-1.685112626231766342e+01,7.853981897982696303e+00,-4.524062693119734035e+01,-4.524062693119734035e+01,-1.484735366126989220e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,4.518163878635901654e+01,4.563124776592572829e+01,nan,nan,4.644563751936036766e+01
