,models,rmse,rmsestd,r2:,r2std
0,sridge,0.018497841265033493,0.010397507651995172,0.836186531587461,0.0850132910085351
1,slasso,0.055156749998294494,0.028687568913945364,-0.48271679699069275,0.22117261133012592
2,senet,0.055156749998294494,0.028687568913945364,-0.48271679699069275,0.22117261133012592
3,splsridge,0.018925786169236562,0.012953789552106168,0.8009495883293382,0.060447329048188086
4,splslasso,0.018926596720464095,0.012965799025443718,0.8005960159358624,0.06029325333872714
5,splsenet,0.018925577054513254,0.012960286479033079,0.8007653269232257,0.06034989757352976
6,pmridge,0.014042018744236759,0.010499378916147745,0.8866006965565354,0.04893763965845625
7,pmlasso,0.055156749998294494,0.028687568913945364,-0.48271679699069275,0.22117261133012592
8,pmenet,0.055156749998294494,0.028687568913945364,-0.48271679699069275,0.22117261133012592
9,pmplsridge,0.01830870332604238,0.01721436414316192,0.7733224120596537,0.07528981674324388
10,pmplslasso,0.01830870332604238,0.01721436414316192,0.7733224120596537,0.07528981674324388
11,pmplsenet,0.01830870332604238,0.01721436414316192,0.7733224120596537,0.07528981674324388
12,mskridge,0.014261948720627304,0.008831135927955591,0.8998850215977673,0.055034533109739006
13,msklasso,0.055156749998294494,0.028687568913945364,-0.48271679699069275,0.22117261133012592
14,mskenet,0.055156749998294494,0.028687568913945364,-0.48271679699069275,0.22117261133012592
15,mskplsridge,0.020697553242353783,0.015830724674214706,0.7499687245678304,0.07674376288964986
16,mskplslasso,0.020970167879028445,0.016226458828372547,0.7410557352229538,0.07823796291781773
17,mskplsenet,0.02079150074631219,0.016100173936894533,0.7449074517076946,0.07661765251971328
18,tskridge,0.013849728473218558,0.008979582159636533,0.9009563009512734,0.052434742473112785
19,tsklasso,0.055156749998294494,0.028687568913945364,-0.48271679699069275,0.22117261133012592
20,tskenet,0.055156749998294494,0.028687568913945364,-0.48271679699069275,0.22117261133012592
21,tskplsridge,0.017888730904845516,0.012789458364927658,0.8142805852264744,0.06881731071610862
22,tskplslasso,0.01833482639788887,0.01359561132085087,0.8002568252976529,0.05862733158881668
23,tskplsenet,0.018082133351471366,0.013221165818719675,0.8068557147376011,0.06194694397817462
