# tskpca,tskhar,tskvae,tskenethar,tsklassohar,tskenetpca,tsklassopca,tskenetvae,tsklassovae,mskpca,mskhar,mskvae,mskenethar,msklassohar,mskenetpca,msklassopca,mskenetvae,msklassovae,pmpca,pmhar,pmvae,pmenethar,pmlassohar,pmenetpca,pmlassopca,pmenetvae,pmlassovae,vae,pca,har,enethar,lassohar,enetpca,lassopca,enetvae,lassovae
0.000000000000000000e+00,0.000000000000000000e+00,5.864776328081046630e-16,3.341423628708280328e-146,3.341423628708280328e-146,4.158159079620516736e-146,4.158159079620516736e-146,4.158159079620516736e-146,4.158159079620516736e-146,3.746894257379637587e-20,0.000000000000000000e+00,2.556723227566758660e-145,3.341423628708280328e-146,3.341423628708280328e-146,4.158159079620516736e-146,4.158159079620516736e-146,4.158159079620516736e-146,4.158159079620516736e-146,8.543208073980668171e-02,0.000000000000000000e+00,7.044061557927453109e-145,3.341423628708280328e-146,3.341423628708280328e-146,4.158159079620516736e-146,4.158159079620516736e-146,4.158159079620516736e-146,4.158159079620516736e-146,0.000000000000000000e+00,1.603002157332772159e-15,0.000000000000000000e+00,3.341423628708280328e-146,3.341423628708280328e-146,2.465714160991993031e-01,1.728494309903280969e-27,4.158149152978127151e-146,4.158149152978127151e-146
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.854881179528441717e-311,2.186528219796983075e-16,8.242642942634288857e-235,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.213360606322791732e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.984647782212742406e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.090794861146940152e-228,5.090794861146940152e-228,6.906377550754120026e-228,6.906377550754120026e-228,6.906377550754120026e-228,6.906377550754120026e-228,2.053771876651512042e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.090794861146940152e-228,5.090794861146940152e-228,6.906377550754120026e-228,6.906377550754120026e-228,6.906377550754120026e-228,6.906377550754120026e-228,5.628602622893238673e-26,0.000000000000000000e+00,1.116566598062052774e-264,5.090794861146940152e-228,5.090794861146940152e-228,6.906377550754120026e-228,6.906377550754120026e-228,6.906377550754120026e-228,6.906377550754120026e-228,0.000000000000000000e+00,3.303667115466179293e-22,0.000000000000000000e+00,5.090794861146940152e-228,5.090794861146940152e-228,1.805841548424992809e-33,8.157460653722570062e-07,6.906354487162526874e-228,6.906354487162526874e-228
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.991587343595136145e-113,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.996295813969687586e-191,0.000000000000000000e+00,1.076902665307080675e-02,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.320800512996779624e-318,1.219877659356126567e-131,0.000000000000000000e+00,nan,nan,4.502860574877218872e-235,4.147143504256894825e-255,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.991587343595136145e-113,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.996295813969687586e-191,0.000000000000000000e+00,1.076902665307080675e-02,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.320800512996779624e-318,1.219877659356126567e-131,0.000000000000000000e+00,nan,nan,4.502860574877218872e-235,4.147143504256894825e-255,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,2.625978601097109537e-113,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,6.356304665549205242e-191,0.000000000000000000e+00,1.007534944729031323e-02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,1.130066470419766396e-318,1.479737878261169964e-131,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.439341825415134327e-235,7.297351427761577605e-255,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,2.625978601097109537e-113,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,6.356304665549205242e-191,0.000000000000000000e+00,1.007534944729031323e-02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,1.130066470419766396e-318,1.479737878261169964e-131,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.439341825415134327e-235,7.297351427761577605e-255,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,2.625978601097109537e-113,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,6.356304665549205242e-191,0.000000000000000000e+00,1.007534944729031323e-02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,1.130066470419766396e-318,1.479737878261169964e-131,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.439341825415134327e-235,7.297351427761577605e-255,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.625978601097109537e-113,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,6.356304665549205242e-191,0.000000000000000000e+00,1.007534944729031323e-02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,1.130066470419766396e-318,1.479737878261169964e-131,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.439341825415134327e-235,7.297351427761577605e-255,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.832110981739725115e-311,9.857959425999340215e-266,2.991587343595136145e-113,2.991587343595136145e-113,3.637533135815235821e-113,3.637533135815235821e-113,3.637533135815235821e-113,3.637533135815235821e-113,8.234162996726290712e-66,0.000000000000000000e+00,1.215515717846010012e-161,2.991587343595136145e-113,2.991587343595136145e-113,3.637533135815235821e-113,3.637533135815235821e-113,3.637533135815235821e-113,3.637533135815235821e-113,0.000000000000000000e+00,2.486799113098307145e-24,1.197010157473030080e-300,2.991587343595136145e-113,2.991587343595136145e-113,1.595611323533762197e-26,5.658825073454105681e-01,3.637525714243782563e-113,3.637525714243782563e-113
