# tskpca,tskhar,tskvae,tskenethar,tsklassohar,tskenetpca,tsklassopca,tskenetvae,tsklassovae,mskpca,mskhar,mskvae,mskenethar,msklassohar,mskenetpca,msklassopca,mskenetvae,msklassovae,pmpca,pmhar,pmvae,pmenethar,pmlassohar,pmenetpca,pmlassopca,pmenetvae,pmlassovae,vae,pca,har,enethar,lassohar,enetpca,lassopca,enetvae,lassovae
0.000000000000000000e+00,0.000000000000000000e+00,2.742511707511419400e-59,2.785276886940757267e-166,2.785276886940757267e-166,2.894025385655628709e-164,2.894025385655628709e-164,2.894025385655628709e-164,2.894025385655628709e-164,3.090057224012923076e-62,0.000000000000000000e+00,0.000000000000000000e+00,2.785276886940757267e-166,2.785276886940757267e-166,2.894025385655628709e-164,2.894025385655628709e-164,2.894025385655628709e-164,2.894025385655628709e-164,2.507519863046279995e-03,0.000000000000000000e+00,8.192063408011960451e-165,2.785276886940757267e-166,2.785276886940757267e-166,2.894025385655628709e-164,2.894025385655628709e-164,2.894025385655628709e-164,2.894025385655628709e-164,0.000000000000000000e+00,9.140687696984305031e-33,0.000000000000000000e+00,2.785276886940757267e-166,2.785276886940757267e-166,4.607898439116436950e-98,4.819419427965450019e-165,2.894038065316306832e-164,2.894038065316306832e-164
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.554746227750704876e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.218765886208180418e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.684414399866666111e-70,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.613427417287419804e-257,1.613427417287419804e-257,5.691712614410757370e-255,5.691712614410757370e-255,5.691712614410757370e-255,5.691712614410757370e-255,1.264739805789515098e-141,0.000000000000000000e+00,0.000000000000000000e+00,1.613427417287419804e-257,1.613427417287419804e-257,5.691712614410757370e-255,5.691712614410757370e-255,5.691712614410757370e-255,5.691712614410757370e-255,3.461693513452846934e-76,0.000000000000000000e+00,1.405446260426709075e-256,1.613427417287419804e-257,1.613427417287419804e-257,5.691712614410757370e-255,5.691712614410757370e-255,5.691712614410757370e-255,5.691712614410757370e-255,0.000000000000000000e+00,8.419136845840279671e-96,0.000000000000000000e+00,1.613427417287419804e-257,1.613427417287419804e-257,2.152544980077319653e-284,4.885493502019367547e-259,5.691745844037925310e-255,5.691745844037925310e-255
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.443954169128385733e-153,0.000000000000000000e+00,3.735417899977953385e-318,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.062954019337614350e-168,0.000000000000000000e+00,6.501184789806644382e-01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.953414492541599001e-22,3.908728484921557320e-154,0.000000000000000000e+00,nan,nan,2.739109943406923815e-173,2.642046597673808856e-176,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.443954169128385733e-153,0.000000000000000000e+00,3.735417899977953385e-318,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.062954019337614350e-168,0.000000000000000000e+00,6.501184789806644382e-01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.953414492541599001e-22,3.908728484921557320e-154,0.000000000000000000e+00,nan,nan,2.739109943406923815e-173,2.642046597673808856e-176,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,7.423726137998735620e-152,0.000000000000000000e+00,1.410631469435757570e-315,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,2.359048360679974018e-166,0.000000000000000000e+00,2.334864727720061364e-06,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,1.576528586659628274e-22,3.771721202725071505e-152,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.499728159547396333e-170,2.757609463897722174e-107,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,7.423726137998735620e-152,0.000000000000000000e+00,1.410631469435757570e-315,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,2.359048360679974018e-166,0.000000000000000000e+00,2.334864727720061364e-06,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,1.576528586659628274e-22,3.771721202725071505e-152,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.499728159547396333e-170,2.757609463897722174e-107,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,7.423726137998735620e-152,0.000000000000000000e+00,1.410631469435757570e-315,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,2.359048360679974018e-166,0.000000000000000000e+00,2.334864727720061364e-06,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,1.576528586659628274e-22,3.771721202725071505e-152,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.499728159547396333e-170,2.757609463897722174e-107,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.423726137998735620e-152,0.000000000000000000e+00,1.410631469435757570e-315,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,2.359048360679974018e-166,0.000000000000000000e+00,2.334864727720061364e-06,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,1.576528586659628274e-22,3.771721202725071505e-152,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.499728159547396333e-170,2.757609463897722174e-107,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.443954169128385733e-153,2.443954169128385733e-153,2.270251671109158741e-151,2.270251671109158741e-151,2.270251671109158741e-151,2.270251671109158741e-151,1.696569584203406032e-218,0.000000000000000000e+00,2.997657206588863018e-152,2.443954169128385733e-153,2.443954169128385733e-153,2.270251671109158741e-151,2.270251671109158741e-151,2.270251671109158741e-151,2.270251671109158741e-151,0.000000000000000000e+00,1.190558045954545063e-01,0.000000000000000000e+00,2.443954169128385733e-153,2.443954169128385733e-153,5.067073121490474998e-67,1.089333605060205771e-151,2.270261435775054392e-151,2.270261435775054392e-151
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.109247142920366525e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.647207518389851543e-33,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.735417899977953385e-318,3.735417899977953385e-318,1.410631469435757570e-315,1.410631469435757570e-315,1.410631469435757570e-315,1.410631469435757570e-315,0.000000000000000000e+00,0.000000000000000000e+00,1.499509788259050257e-316,3.735417899977953385e-318,3.735417899977953385e-318,1.410631469435757570e-315,1.410631469435757570e-315,1.410631469435757570e-315,1.410631469435757570e-315,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.735417899977953385e-318,3.735417899977953385e-318,0.000000000000000000e+00,8.448522543885315905e-322,1.410639809263859370e-315,1.410639809263859370e-315
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.062954019337614350e-168,0.000000000000000000e+00,6.501184789806644382e-01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.953414492541599001e-22,3.908728484921557320e-154,0.000000000000000000e+00,nan,nan,2.739109943406923815e-173,2.642046597673808856e-176,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.062954019337614350e-168,0.000000000000000000e+00,6.501184789806644382e-01,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.953414492541599001e-22,3.908728484921557320e-154,0.000000000000000000e+00,nan,nan,2.739109943406923815e-173,2.642046597673808856e-176,0.000000000000000000e+00,0.000000000000000000e+00
