# ssviridge,lasso,enet,plsridge,plslasso,plsenet,pmlasso,pmenet,pmplsridge,pmplslasso,pmplsenet,msklasso,mskenet,mskplsridge,mskplslasso,mskplsenet,msknsridge,msknslasso,msknsenet,ctridge,ctlasso,ctenet,ssvilasso,ssvienet,tsklasso,tskenet,tskplsridge,tskplslasso,tskplsenet,tsknsridge,tsknslasso,tsknsenet,ridge,mskridge,pmridge,tskridge
0.000000000000000000e+00,-9.784458622698113004e+02,-9.784458622698113004e+02,4.224502538530305884e+00,3.880818386511497575e+00,4.087427524455433669e+00,-9.784458622698113004e+02,-9.784458622698113004e+02,4.357201214014905233e+00,4.357201214014905233e+00,4.357201214014905233e+00,-9.784458622698113004e+02,-9.784458622698113004e+02,-4.936695260449353029e+00,-2.179208104933292134e+01,-1.108656529903388943e+01,1.537439816205050747e+01,-1.843419880644209798e+03,-1.550357802385751711e+03,-2.531003079731275562e+01,-9.744630768225221118e+02,-9.744630768225221118e+02,-7.474715203561732579e+00,-7.474715203561732579e+00,-9.784458622698113004e+02,-9.784458622698113004e+02,1.377482921486515899e+01,-1.099544416107023359e+01,2.243420589715383606e-01,9.385735160148399814e+00,-9.779838290130834366e+02,-9.779838290130834366e+02,-5.205033074692511086e+00,2.809014756350911668e+01,2.680300805080472060e+01,2.876630325626095086e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.111911864913733439e+01,9.108725018322330413e+01,9.110640822769936165e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.113142327008560528e+01,9.113142327008560528e+01,9.113142327008560528e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.026963717589045189e+01,8.870670422036795344e+01,8.969938416146088400e+01,9.215300417029395419e+01,-8.020560406749422100e+01,-5.303112192504817557e+01,8.838049871751817932e+01,3.693078703929097983e-01,3.693078703929097983e-01,9.003429667045510598e+01,9.003429667045510598e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.200468249712079682e+01,8.970783346254791013e+01,9.074819966103537183e+01,9.159769924387903473e+01,4.284250817703227909e-02,4.284250817703227909e-02,9.024475527651738105e+01,9.333208509093429939e+01,9.321273375789702698e+01,9.339478232186702655e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.111911864913733439e+01,9.108725018322330413e+01,9.110640822769936165e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.113142327008560528e+01,9.113142327008560528e+01,9.113142327008560528e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.026963717589045189e+01,8.870670422036795344e+01,8.969938416146088400e+01,9.215300417029395419e+01,-8.020560406749422100e+01,-5.303112192504817557e+01,8.838049871751817932e+01,3.693078703929097983e-01,3.693078703929097983e-01,9.003429667045510598e+01,9.003429667045510598e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.200468249712079682e+01,8.970783346254791013e+01,9.074819966103537183e+01,9.159769924387903473e+01,4.284250817703227909e-02,4.284250817703227909e-02,9.024475527651738105e+01,9.333208509093429939e+01,9.321273375789702698e+01,9.339478232186702655e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.588435049967308998e-01,-1.431211716023783609e-01,-1.026014367822696840e+03,-1.026014367822696840e+03,1.385517997836482884e-01,1.385517997836482884e-01,1.385517997836482884e-01,-1.026014367822696840e+03,-1.026014367822696840e+03,-9.565283440751848332e+00,-2.716413307937102317e+01,-1.598641431617080499e+01,1.164169951506206502e+01,-1.929140993421667417e+03,-1.623152420116311760e+03,-3.083725391008773542e+01,-1.021855908140572751e+03,-1.021855908140572751e+03,-1.221525134526040191e+01,-1.221525134526040191e+01,-1.026014367822696840e+03,-1.026014367822696840e+03,9.971576164537221842e+00,-1.589127397195038149e+01,-4.176601099010746054e+00,5.388886258402836305e+00,-1.025531955025087882e+03,-1.025531955025087882e+03,-9.845457202679931186e+00,2.491832008972849621e+01,2.357440693154082467e+01,2.562429991825807463e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.149509957073414412e-01,-1.021988186090081967e+03,-1.021988186090081967e+03,4.956168160264007305e-01,4.956168160264007305e-01,4.956168160264007305e-01,-1.021988186090081967e+03,-1.021988186090081967e+03,-9.173521350210389613e+00,-2.670944446768128699e+01,-1.557169280293269154e+01,1.195763382771675154e+01,-1.921885588309553214e+03,-1.616991109040149922e+03,-3.036943167203149940e+01,-1.017844595413972570e+03,-1.017844595413972570e+03,-1.181401401827966069e+01,-1.181401401827966069e+01,-1.021988186090081967e+03,-1.021988186090081967e+03,1.029348217730270321e+01,-1.547689264292917422e+01,-3.804106803825346717e+00,5.727178156565148726e+00,-1.021507498209711116e+03,-1.021507498209711116e+03,-9.452693321651196356e+00,2.518678246174361846e+01,2.384767460512431470e+01,2.589023798581452240e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.024405106061344895e+03,-1.024405106061344895e+03,2.812704138743127302e-01,2.812704138743127302e-01,2.812704138743127302e-01,-1.024405106061344895e+03,-1.024405106061344895e+03,-9.408696432582640767e+00,-2.698239438879301844e+01,-1.582065044429741363e+01,1.176797821836440505e+01,-1.926241013543595727e+03,-1.620689748788204270e+03,-3.065026571908895292e+01,-1.020252589509560607e+03,-1.020252589509560607e+03,-1.205487709232826532e+01,-1.205487709232826532e+01,-1.024405106061344895e+03,-1.024405106061344895e+03,1.010024175180973494e+01,-1.572564607144850690e+01,-4.027715413919152887e+00,5.524101271544878955e+00,-1.023923382711837576e+03,-1.023923382711837576e+03,-9.688469779618614552e+00,2.502562429463958082e+01,2.368363181181614152e+01,2.573059516060632745e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.113142327008560528e+01,9.113142327008560528e+01,9.113142327008560528e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.026963717589045189e+01,8.870670422036795344e+01,8.969938416146088400e+01,9.215300417029395419e+01,-8.020560406749422100e+01,-5.303112192504817557e+01,8.838049871751817932e+01,3.693078703929097983e-01,3.693078703929097983e-01,9.003429667045510598e+01,9.003429667045510598e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.200468249712079682e+01,8.970783346254791013e+01,9.074819966103537183e+01,9.159769924387903473e+01,4.284250817703227909e-02,4.284250817703227909e-02,9.024475527651738105e+01,9.333208509093429939e+01,9.321273375789702698e+01,9.339478232186702655e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.113142327008560528e+01,9.113142327008560528e+01,9.113142327008560528e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.026963717589045189e+01,8.870670422036795344e+01,8.969938416146088400e+01,9.215300417029395419e+01,-8.020560406749422100e+01,-5.303112192504817557e+01,8.838049871751817932e+01,3.693078703929097983e-01,3.693078703929097983e-01,9.003429667045510598e+01,9.003429667045510598e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.200468249712079682e+01,8.970783346254791013e+01,9.074819966103537183e+01,9.159769924387903473e+01,4.284250817703227909e-02,4.284250817703227909e-02,9.024475527651738105e+01,9.333208509093429939e+01,9.321273375789702698e+01,9.339478232186702655e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.027576645559058989e+03,-1.027576645559058989e+03,-9.717298732820168539e+00,-2.734056572503773452e+01,-1.614733854412449077e+01,1.151910764624131112e+01,-1.931956305453690675e+03,-1.625543191263852123e+03,-3.101878279170027142e+01,-1.023412416262297029e+03,-1.023412416262297029e+03,-1.237094330964978539e+01,-1.237094330964978539e+01,-1.027576645559058989e+03,-1.027576645559058989e+03,9.846667099238270993e+00,-1.605206619835431070e+01,-4.321139915919069985e+00,5.257618984347766755e+00,-1.027093563442483173e+03,-1.027093563442483173e+03,-9.997861219122539111e+00,2.481414873962459922e+01,2.346837098213282502e+01,2.552110807303434825e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.027576645559058989e+03,-1.027576645559058989e+03,-9.717298732820168539e+00,-2.734056572503773452e+01,-1.614733854412449077e+01,1.151910764624131112e+01,-1.931956305453690675e+03,-1.625543191263852123e+03,-3.101878279170027142e+01,-1.023412416262297029e+03,-1.023412416262297029e+03,-1.237094330964978539e+01,-1.237094330964978539e+01,-1.027576645559058989e+03,-1.027576645559058989e+03,9.846667099238270993e+00,-1.605206619835431070e+01,-4.321139915919069985e+00,5.257618984347766755e+00,-1.027093563442483173e+03,-1.027093563442483173e+03,-9.997861219122539111e+00,2.481414873962459922e+01,2.346837098213282502e+01,2.552110807303434825e+01
