# tskpca                 ,tskhar                   ,tskvae                    ,tskenethar                ,tsklassohar               ,tskenetpca                ,tsklassopca               ,tskenetvae                ,tsklassovae               ,mskpca                    ,mskhar                    ,mskvae                    ,mskenethar                ,msklassohar               ,mskenetpca                ,msklassopca               ,mskenetvae                ,msklassovae               ,pmpca                     ,pmhar                     ,pmvae                     ,pmenethar                 ,pmlassohar                ,pmenetpca                 ,pmlassopca                ,pmenetvae                 ,pmlassovae                ,vae                       ,pca                       ,har                       ,enethar                   ,lassohar                  ,enetpca                   ,lassopca                  ,enetvae                   ,lassovae
0.000000000000000000e+00 ,8.886307888152219903e+01 ,4.286860843760936746e+01  ,-8.443624314226667593e+01 ,-8.443624314226667593e+01 ,-8.455291318650365895e+01 ,-8.455291318650365895e+01 ,-8.455291318650365895e+01 ,-8.455291318650365895e+01 ,1.317279851151631487e+00  ,8.839486166870270267e+01  ,5.479855463028652451e+01  ,-8.443624314226667593e+01 ,-8.443624314226667593e+01 ,-8.455291318650365895e+01 ,-8.455291318650365895e+01 ,-8.455291318650365895e+01 ,-8.455291318650365895e+01 ,5.725588093487033348e+00  ,8.835617923088850034e+01  ,-8.294602604589988459e+01 ,-8.443624314226667593e+01 ,-8.443624314226667593e+01 ,-8.455291318650365895e+01 ,-8.455291318650365895e+01 ,-8.455291318650365895e+01 ,-8.455291318650365895e+01 ,-2.996377903921800794e+02 ,-1.326280381204187897e+01 ,8.860336565339569859e+01  ,-8.443624314226667593e+01 ,-8.443624314226667593e+01 ,-3.576235073630564898e+01 ,-8.417275856946662316e+01 ,-8.455291399594904078e+01 ,-8.455291399594904078e+01
0.000000000000000000e+00 ,0.000000000000000000e+00 ,-4.129908971663735429e+02 ,-1.556079280621459247e+03 ,-1.556079280621459247e+03 ,-1.557126877555978353e+03 ,-1.557126877555978353e+03 ,-1.557126877555978353e+03 ,-1.557126877555978353e+03 ,-7.860861911387615919e+02 ,-4.204189001955427329e+00 ,-3.058702121425423002e+02 ,-1.556079280621459247e+03 ,-1.556079280621459247e+03 ,-1.557126877555978353e+03 ,-1.557126877555978353e+03 ,-1.557126877555978353e+03 ,-1.557126877555978353e+03 ,-7.465033639333020119e+02 ,-4.551524117313499040e+00 ,-1.542698409189279573e+03 ,-1.556079280621459247e+03 ,-1.556079280621459247e+03 ,-1.557126877555978353e+03 ,-1.557126877555978353e+03 ,-1.557126877555978353e+03 ,-1.557126877555978353e+03 ,-3.488404606091010010e+03 ,-9.170028377423095662e+02 ,-2.332002044044179101e+00 ,-1.556079280621459247e+03 ,-1.556079280621459247e+03 ,-1.119029472257424231e+03 ,-1.553713415136761796e+03 ,-1.557126884824103627e+03 ,-1.557126884824103627e+03
0.000000000000000000e+00 ,0.000000000000000000e+00 ,0.000000000000000000e+00  ,-2.228282002213303770e+02 ,-2.228282002213303770e+02 ,-2.230324137737161720e+02 ,-2.230324137737161720e+02 ,-2.230324137737161720e+02 ,-2.230324137737161720e+02 ,-7.272941801370511428e+01 ,7.968693215073562897e+01  ,2.088159568045703196e+01  ,-2.228282002213303770e+02 ,-2.228282002213303770e+02 ,-2.230324137737161720e+02 ,-2.230324137737161720e+02 ,-2.230324137737161720e+02 ,-2.230324137737161720e+02 ,-6.501333037470320164e+01 ,7.961922429913892074e+01  ,-2.202197969326770703e+02 ,-2.228282002213303770e+02 ,-2.228282002213303770e+02 ,-2.230324137737161720e+02 ,-2.230324137737161720e+02 ,-2.230324137737161720e+02 ,-2.230324137737161720e+02 ,-5.995064875249074703e+02 ,-9.824968500610150102e+01 ,8.005188735135473621e+01  ,-2.228282002213303770e+02 ,-2.228282002213303770e+02 ,-1.376317940515166072e+02 ,-2.223670096821285824e+02 ,-2.230324151905298038e+02 ,-2.230324151905298038e+02
0.000000000000000000e+00 ,0.000000000000000000e+00 ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,-6.325765600581068071e-02 ,-6.325765600581068071e-02 ,-6.325765600581068071e-02 ,-6.325765600581068071e-02 ,4.649494130460654162e+01  ,9.370777774824573214e+01  ,7.549210252843477065e+01  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,-6.325765600581068071e-02 ,-6.325765600581068071e-02 ,-6.325765600581068071e-02 ,-6.325765600581068071e-02 ,4.888509421990693227e+01  ,9.368680440962467060e+01  ,8.079849551138940100e-01  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,-6.325765600581068071e-02 ,-6.325765600581068071e-02 ,-6.325765600581068071e-02 ,-6.325765600581068071e-02 ,-1.166807258614108775e+02 ,3.858972516335874303e+01  ,9.382082710402347914e+01  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,2.639063319480865388e+01  ,1.428594338677924291e-01  ,-6.325809488125777591e-02 ,-6.325809488125777591e-02
0.000000000000000000e+00 ,0.000000000000000000e+00 ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,-6.325765600581068071e-02 ,-6.325765600581068071e-02 ,-6.325765600581068071e-02 ,-6.325765600581068071e-02 ,4.649494130460654162e+01  ,9.370777774824573214e+01  ,7.549210252843477065e+01  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,-6.325765600581068071e-02 ,-6.325765600581068071e-02 ,-6.325765600581068071e-02 ,-6.325765600581068071e-02 ,4.888509421990693227e+01  ,9.368680440962467060e+01  ,8.079849551138940100e-01  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,-6.325765600581068071e-02 ,-6.325765600581068071e-02 ,-6.325765600581068071e-02 ,-6.325765600581068071e-02 ,-1.166807258614108775e+02 ,3.858972516335874303e+01  ,9.382082710402347914e+01  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,2.639063319480865388e+01  ,1.428594338677924291e-01  ,-6.325809488125777591e-02 ,-6.325809488125777591e-02
0.000000000000000000e+00 ,0.000000000000000000e+00 ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,4.635017384904492133e+01  ,9.371175554429233046e+01  ,7.550759584920004386e+01  ,6.321766599213241022e-02  ,6.321766599213241022e-02  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,4.891740787031518778e+01  ,9.369079546452641694e+01  ,8.706918318758249953e-01  ,6.321766599213241022e-02  ,6.321766599213241022e-02  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,-1.165437453638665204e+02 ,3.862854730578981588e+01  ,9.382473343290594414e+01  ,6.321766599213241022e-02  ,6.321766599213241022e-02  ,2.643716731845448109e+01  ,2.059867874601772897e-01  ,-4.385980023613456069e-07 ,-4.385980023613456069e-07
0.000000000000000000e+00 ,0.000000000000000000e+00 ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,4.635017384904492133e+01  ,9.371175554429233046e+01  ,7.550759584920004386e+01  ,6.321766599213241022e-02  ,6.321766599213241022e-02  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,4.891740787031518778e+01  ,9.369079546452641694e+01  ,8.706918318758249953e-01  ,6.321766599213241022e-02  ,6.321766599213241022e-02  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,-1.165437453638665204e+02 ,3.862854730578981588e+01  ,9.382473343290594414e+01  ,6.321766599213241022e-02  ,6.321766599213241022e-02  ,2.643716731845448109e+01  ,2.059867874601772897e-01  ,-4.385980023613456069e-07 ,-4.385980023613456069e-07
0.000000000000000000e+00 ,0.000000000000000000e+00 ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,4.635017384904492133e+01  ,9.371175554429233046e+01  ,7.550759584920004386e+01  ,6.321766599213241022e-02  ,6.321766599213241022e-02  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,4.891740787031518778e+01  ,9.369079546452641694e+01  ,8.706918318758249953e-01  ,6.321766599213241022e-02  ,6.321766599213241022e-02  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,-1.165437453638665204e+02 ,3.862854730578981588e+01  ,9.382473343290594414e+01  ,6.321766599213241022e-02  ,6.321766599213241022e-02  ,2.643716731845448109e+01  ,2.059867874601772897e-01  ,-4.385980023613456069e-07 ,-4.385980023613456069e-07
0.000000000000000000e+00 ,0.000000000000000000e+00 ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,4.635017384904492133e+01  ,9.371175554429233046e+01  ,7.550759584920004386e+01  ,6.321766599213241022e-02  ,6.321766599213241022e-02  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,4.891740787031518778e+01  ,9.369079546452641694e+01  ,8.706918318758249953e-01  ,6.321766599213241022e-02  ,6.321766599213241022e-02  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,-1.165437453638665204e+02 ,3.862854730578981588e+01  ,9.382473343290594414e+01  ,6.321766599213241022e-02  ,6.321766599213241022e-02  ,2.643716731845448109e+01  ,2.059867874601772897e-01  ,-4.385980023613456069e-07 ,-4.385980023613456069e-07
0.000000000000000000e+00 ,0.000000000000000000e+00 ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,0.000000000000000000e+00  ,8.823994888487806065e+01  ,5.419517692506475015e+01  ,-8.689821567957565662e+01 ,-8.689821567957565662e+01 ,-8.701644310993124520e+01 ,-8.701644310993124520e+01 ,-8.701644310993124520e+01 ,-8.701644310993124520e+01 ,4.467153150709779474e+00  ,8.820075008922685811e+01  ,-8.538810621550835833e+01 ,-8.689821567957565662e+01 ,-8.689821567957565662e+01 ,-8.701644310993124520e+01 ,-8.701644310993124520e+01 ,-8.701644310993124520e+01 ,-8.701644310993124520e+01 ,-3.049724103565297924e+02 ,-1.477470791360593338e+01 ,8.845123611366392424e+01  ,-8.689821567957565662e+01 ,-8.689821567957565662e+01 ,-3.757459313193647432e+01 ,-8.663121394674679721e+01 ,-8.701644393018159462e+01 ,-8.701644393018159462e+01
