# tskpca,tskhar,tskvae,tskenethar,tsklassohar,tskenetpca,tsklassopca,tskenetvae,tsklassovae,mskpca,mskhar,mskvae,mskenethar,msklassohar,mskenetpca,msklassopca,mskenetvae,msklassovae,pmpca,pmhar,pmvae,pmenethar,pmlassohar,pmenetpca,pmlassopca,pmenetvae,pmlassovae,vae,pca,har,enethar,lassohar,enetpca,lassopca,enetvae,lassovae
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.852496782882339099e-02,6.852496782882339099e-02,7.313073786459396708e-02,7.313073786459396708e-02,7.313073786459396708e-02,7.313073786459396708e-02,2.005933690483599864e-07,0.000000000000000000e+00,0.000000000000000000e+00,6.852496782882339099e-02,6.852496782882339099e-02,7.313073786459396708e-02,7.313073786459396708e-02,7.313073786459396708e-02,7.313073786459396708e-02,1.651016384265459670e-28,0.000000000000000000e+00,8.297217402991910222e-10,6.852496782882339099e-02,6.852496782882339099e-02,7.313073786459396708e-02,7.313073786459396708e-02,7.313073786459396708e-02,7.313073786459396708e-02,5.679001885880329199e-158,6.078215785455114632e-25,0.000000000000000000e+00,6.852496782882339099e-02,6.852496782882339099e-02,3.083187311215254689e-02,1.146577463697587701e-01,7.313074650071622884e-02,7.313074650071622884e-02
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.737607499576723669e-01,9.737607499576723669e-01,9.717518239284577142e-01,9.717518239284577142e-01,9.717518239284577142e-01,9.717518239284577142e-01,8.495197303273698264e-01,1.744887720303380790e-30,6.413434872140260090e-01,9.737607499576723669e-01,9.737607499576723669e-01,9.717518239284577142e-01,9.717518239284577142e-01,9.717518239284577142e-01,9.717518239284577142e-01,4.450771813818907852e-01,1.096722102154763009e-03,9.727226069829367772e-01,9.737607499576723669e-01,9.737607499576723669e-01,9.717518239284577142e-01,9.717518239284577142e-01,9.717518239284577142e-01,9.717518239284577142e-01,9.424582321701153731e-01,2.802195275465169666e-01,4.459393956863739256e-15,9.737607499576723669e-01,9.737607499576723669e-01,9.901357341220179409e-01,9.852530936924887017e-01,9.717518227618178184e-01,9.717518227618178184e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.578916579311890776e-93,6.578916579311890776e-93,4.128337358797721546e-93,4.128337358797721546e-93,4.128337358797721546e-93,4.128337358797721546e-93,1.190957122146936162e-293,0.000000000000000000e+00,0.000000000000000000e+00,6.578916579311890776e-93,6.578916579311890776e-93,4.128337358797721546e-93,4.128337358797721546e-93,4.128337358797721546e-93,4.128337358797721546e-93,1.469250214098596782e-287,0.000000000000000000e+00,3.254291438031994408e-105,6.578916579311890776e-93,6.578916579311890776e-93,4.128337358797721546e-93,4.128337358797721546e-93,4.128337358797721546e-93,4.128337358797721546e-93,1.442550614605917899e-181,5.085638727235399305e-227,0.000000000000000000e+00,6.578916579311890776e-93,6.578916579311890776e-93,2.199181905172094212e-279,1.210788501139787008e-128,4.128338593130650939e-93,4.128338593130650939e-93
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.017165317404132081e-141,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.122479107248883691e-144,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.587005189906943148e-201,2.441471812474983924e-124,0.000000000000000000e+00,nan,nan,3.035251674177984003e-125,7.622287095517243075e-106,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.017165317404132081e-141,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.122479107248883691e-144,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.587005189906943148e-201,2.441471812474983924e-124,0.000000000000000000e+00,nan,nan,3.035251674177984003e-125,7.622287095517243075e-106,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,1.245687474079146000e-141,0.000000000000000000e+00,0.000000000000000000e+00,1.762352799131279511e-52,1.762352799131279511e-52,nan,nan,nan,nan,8.506284641541052154e-145,0.000000000000000000e+00,0.000000000000000000e+00,1.762352799131279511e-52,1.762352799131279511e-52,nan,nan,nan,nan,2.629745179565108018e-201,1.060404236558578902e-124,0.000000000000000000e+00,1.762352799131279511e-52,1.762352799131279511e-52,8.354103882226496760e-126,9.037972380358879067e-108,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,1.245687474079146000e-141,0.000000000000000000e+00,0.000000000000000000e+00,1.762352799131279511e-52,1.762352799131279511e-52,nan,nan,nan,nan,8.506284641541052154e-145,0.000000000000000000e+00,0.000000000000000000e+00,1.762352799131279511e-52,1.762352799131279511e-52,nan,nan,nan,nan,2.629745179565108018e-201,1.060404236558578902e-124,0.000000000000000000e+00,1.762352799131279511e-52,1.762352799131279511e-52,8.354103882226496760e-126,9.037972380358879067e-108,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,1.245687474079146000e-141,0.000000000000000000e+00,0.000000000000000000e+00,1.762352799131279511e-52,1.762352799131279511e-52,nan,nan,nan,nan,8.506284641541052154e-145,0.000000000000000000e+00,0.000000000000000000e+00,1.762352799131279511e-52,1.762352799131279511e-52,nan,nan,nan,nan,2.629745179565108018e-201,1.060404236558578902e-124,0.000000000000000000e+00,1.762352799131279511e-52,1.762352799131279511e-52,8.354103882226496760e-126,9.037972380358879067e-108,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.245687474079146000e-141,0.000000000000000000e+00,0.000000000000000000e+00,1.762352799131279511e-52,1.762352799131279511e-52,nan,nan,nan,nan,8.506284641541052154e-145,0.000000000000000000e+00,0.000000000000000000e+00,1.762352799131279511e-52,1.762352799131279511e-52,nan,nan,nan,nan,2.629745179565108018e-201,1.060404236558578902e-124,0.000000000000000000e+00,1.762352799131279511e-52,1.762352799131279511e-52,8.354103882226496760e-126,9.037972380358879067e-108,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.306470826186751154e-04,5.306470826186751154e-04,6.000571294392943299e-04,6.000571294392943299e-04,6.000571294392943299e-04,6.000571294392943299e-04,1.253235317689717423e-98,0.000000000000000000e+00,9.011894266996785838e-16,5.306470826186751154e-04,5.306470826186751154e-04,6.000571294392943299e-04,6.000571294392943299e-04,6.000571294392943299e-04,6.000571294392943299e-04,5.642332908995690371e-165,5.541955851461722917e-34,0.000000000000000000e+00,5.306470826186751154e-04,5.306470826186751154e-04,1.406641145301941044e-11,1.268872690550287786e-04,6.000572651877250554e-04,6.000572651877250554e-04
