# lasso,enet,plsridge,plslasso,plsenet,pmlasso,pmenet,pmplsridge,pmplslasso,pmplsenet,msklasso,mskenet,mskplsridge,mskplslasso,mskplsenet,msknsridge,msknslasso,msknsenet,tsklasso,tskenet,tskplsridge,tskplslasso,tskplsenet,tsknsridge,tsknslasso,tsknsenet,ridge,mskridge,pmridge,tskridge
0.000000000000000000e+00,nan,6.786972808312401546e-245,7.005050067018411265e-246,1.908480399558182631e-245,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,1.873454637010722885e-315,1.081039473645508733e-313,7.461384818216609564e-315,1.031026471170216713e-253,1.000000000000000000e+00,1.000000000000000000e+00,nan,nan,6.035248004947437170e-269,1.818016733888388011e-288,1.709268031538976396e-278,1.782892538656177482e-265,4.837275685838092126e-33,4.837275685838092126e-33,1.947119677970571108e-227,2.664835640416702933e-231,5.555124815477167202e-273,1.864935681646976633e-240
0.000000000000000000e+00,0.000000000000000000e+00,6.786972808312401546e-245,7.005050067018411265e-246,1.908480399558182631e-245,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,1.873454637010722885e-315,1.081039473645508733e-313,7.461384818216609564e-315,1.031026471170216713e-253,1.000000000000000000e+00,1.000000000000000000e+00,nan,nan,6.035248004947437170e-269,1.818016733888388011e-288,1.709268031538976396e-278,1.782892538656177482e-265,4.837275685838092126e-33,4.837275685838092126e-33,1.947119677970571108e-227,2.664835640416702933e-231,5.555124815477167202e-273,1.864935681646976633e-240
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.955949468196047534e-08,1.322534483612343074e-06,3.824613425268220679e-01,3.824613425268220679e-01,1.638976895355060922e-04,1.638976895355060922e-04,1.638976895355060922e-04,3.824613425268220679e-01,3.824613425268220679e-01,1.159461486015747056e-01,8.620097290295143377e-01,5.564921253210174390e-01,7.588566094410376494e-74,1.000000000000000000e+00,1.000000000000000000e+00,3.824613425268220679e-01,3.824613425268220679e-01,2.418188486277542761e-72,4.885179651144535803e-17,1.731358037237695966e-31,1.738592591178689671e-99,3.662023970991493682e-01,3.662023970991493682e-01,1.193234865358868076e-54,4.700573461336842042e-55,4.506969453996440883e-88,1.649395060057007531e-65
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999947789034151491e-01,3.792789307166173907e-01,3.792789307166173907e-01,2.858282341126554380e-04,2.858282341126554380e-04,2.858282341126554380e-04,3.792789307166173907e-01,3.792789307166173907e-01,2.082911758328408469e-01,9.323138069288914309e-01,7.038929481796454279e-01,5.446240229376722339e-73,1.000000000000000000e+00,1.000000000000000000e+00,3.792789307166173907e-01,3.792789307166173907e-01,2.283747003575255398e-71,1.127545044902648900e-15,1.021394032924038521e-29,7.641410996400001881e-97,3.645038537039763105e-01,3.645038537039763105e-01,3.647067195264866714e-53,9.013468681965019591e-54,2.304733407438674409e-87,2.230327291465252271e-63
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.832267043719185251e-01,3.832267043719185251e-01,2.238873731992941469e-04,2.238873731992941469e-04,2.238873731992941469e-04,3.832267043719185251e-01,3.832267043719185251e-01,1.628096730069813480e-01,9.064757308917564815e-01,6.420684503796807441e-01,2.213654043977654955e-73,1.000000000000000000e+00,1.000000000000000000e+00,3.832267043719185251e-01,3.832267043719185251e-01,6.644260287290637245e-72,2.778554251393462916e-16,1.549847368911488620e-30,5.003001859685927119e-98,3.676982487638020825e-01,3.676982487638020825e-01,8.227824928498633578e-54,2.600744221369749221e-54,1.043340643441453669e-87,2.611041583641266840e-64
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,1.873454637010722885e-315,1.081039473645508733e-313,7.461384818216609564e-315,1.031026471170216713e-253,1.000000000000000000e+00,1.000000000000000000e+00,nan,nan,6.035248004947437170e-269,1.818016733888388011e-288,1.709268031538976396e-278,1.782892538656177482e-265,4.837275685838092126e-33,4.837275685838092126e-33,1.947119677970571108e-227,2.664835640416702933e-231,5.555124815477167202e-273,1.864935681646976633e-240
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,1.873454637010722885e-315,1.081039473645508733e-313,7.461384818216609564e-315,1.031026471170216713e-253,1.000000000000000000e+00,1.000000000000000000e+00,nan,nan,6.035248004947437170e-269,1.818016733888388011e-288,1.709268031538976396e-278,1.782892538656177482e-265,4.837275685838092126e-33,4.837275685838092126e-33,1.947119677970571108e-227,2.664835640416702933e-231,5.555124815477167202e-273,1.864935681646976633e-240
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,4.484745687438070755e-02,4.484745687438070755e-02,6.195617360190828793e-07,8.128863679075061868e-03,2.907129641487155681e-05,2.333883272329601499e-13,1.847204890414873013e-01,2.398262032143166911e-01,4.484745687438070755e-02,4.484745687438070755e-02,7.514780136055671739e-11,5.927188083066930704e-12,2.260261131381859487e-11,8.140794079514771215e-15,4.378659534510448426e-02,4.378659534510448426e-02,9.751218791873439867e-15,3.520722139399666512e-14,4.848743086203334947e-15,1.057286041208180740e-14
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,4.484745687438070755e-02,4.484745687438070755e-02,6.195617360190828793e-07,8.128863679075061868e-03,2.907129641487155681e-05,2.333883272329601499e-13,1.847204890414873013e-01,2.398262032143166911e-01,4.484745687438070755e-02,4.484745687438070755e-02,7.514780136055671739e-11,5.927188083066930704e-12,2.260261131381859487e-11,8.140794079514771215e-15,4.378659534510448426e-02,4.378659534510448426e-02,9.751218791873439867e-15,3.520722139399666512e-14,4.848743086203334947e-15,1.057286041208180740e-14
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.484745687438070755e-02,4.484745687438070755e-02,6.195617360190828793e-07,8.128863679075061868e-03,2.907129641487155681e-05,2.333883272329601499e-13,1.847204890414873013e-01,2.398262032143166911e-01,4.484745687438070755e-02,4.484745687438070755e-02,7.514780136055671739e-11,5.927188083066930704e-12,2.260261131381859487e-11,8.140794079514771215e-15,4.378659534510448426e-02,4.378659534510448426e-02,9.751218791873439867e-15,3.520722139399666512e-14,4.848743086203334947e-15,1.057286041208180740e-14
