,cash,dates
0,10000.0,2014-02-07
1,10000.0,2014-02-10
2,10000.0,2014-02-11
3,10000.0,2014-02-12
4,10000.0,2014-02-13
5,10000.0,2014-02-14
6,10000.0,2014-02-18
7,10000.0,2014-02-19
8,10000.0,2014-02-20
9,10000.0,2014-02-21
10,10000.0,2014-02-24
11,10000.0,2014-02-25
12,10000.0,2014-02-26
13,10000.0,2014-02-27
14,10000.0,2014-02-28
15,10000.0,2014-03-03
16,10000.0,2014-03-04
17,10000.0,2014-03-05
18,10000.0,2014-03-06
19,10000.0,2014-03-07
20,10000.0,2014-03-10
21,10000.0,2014-03-11
22,10000.0,2014-03-12
23,10000.0,2014-03-13
24,10000.0,2014-03-14
25,10000.0,2014-03-17
26,10000.0,2014-03-18
27,10000.0,2014-03-19
28,10000.0,2014-03-20
29,10000.0,2014-03-21
30,10000.0,2014-03-24
31,10000.0,2014-03-25
32,10000.0,2014-03-26
33,10000.0,2014-03-27
34,10000.0,2014-03-28
35,10000.0,2014-03-31
36,10000.0,2014-04-01
37,10000.0,2014-04-02
38,10000.0,2014-04-03
39,10000.0,2014-04-04
40,10000.0,2014-04-07
41,10000.0,2014-04-08
42,10000.0,2014-04-09
43,10000.0,2014-04-10
44,10000.0,2014-04-11
45,10000.0,2014-04-14
46,10000.0,2014-04-15
47,10000.0,2014-04-16
48,10000.0,2014-04-17
49,10000.0,2014-04-21
50,10000.0,2014-04-22
51,10000.0,2014-04-23
52,8640.721342071047,2014-04-24
53,10133.655050414547,2014-04-25
54,10133.655050414547,2014-04-25
55,10133.655050414547,2014-04-28
56,10133.655050414547,2014-04-29
57,10133.655050414547,2014-04-30
58,10133.655050414547,2014-05-01
59,10133.655050414547,2014-05-02
60,10133.655050414547,2014-05-05
61,10133.655050414547,2014-05-06
62,10133.655050414547,2014-05-07
63,10133.655050414547,2014-05-08
64,10133.655050414547,2014-05-09
65,10133.655050414547,2014-05-12
66,10133.655050414547,2014-05-13
67,8985.676391796453,2014-05-14
68,10281.160692803063,2014-05-15
69,10281.160692803063,2014-05-15
70,10281.160692803063,2014-05-16
71,10281.160692803063,2014-05-19
72,10281.160692803063,2014-05-20
73,9075.463182643118,2014-05-21
74,10052.719496680938,2014-05-22
75,10052.719496680938,2014-05-22
76,10052.719496680938,2014-05-23
77,10052.719496680938,2014-05-27
78,10052.719496680938,2014-05-28
79,10052.719496680938,2014-05-29
80,10052.719496680938,2014-05-30
81,10052.719496680938,2014-06-02
82,10052.719496680938,2014-06-03
83,10052.719496680938,2014-06-04
84,10052.719496680938,2014-06-05
85,10052.719496680938,2014-06-06
86,10052.719496680938,2014-06-09
87,10052.719496680938,2014-06-10
88,9242.782095153241,2014-06-11
89,10564.381429216486,2014-06-12
90,10564.381429216486,2014-06-12
91,9740.118100151629,2014-06-13
92,11061.607062208324,2014-06-16
93,11061.607062208324,2014-06-16
94,11061.607062208324,2014-06-17
95,11061.607062208324,2014-06-18
