,cash,dates
0,10000.0,2014-02-07
1,10000.0,2014-02-10
2,10000.0,2014-02-11
3,10000.0,2014-02-12
4,10000.0,2014-02-13
5,10000.0,2014-02-14
6,10000.0,2014-02-18
7,10000.0,2014-02-19
8,10000.0,2014-02-20
9,10000.0,2014-02-21
10,10000.0,2014-02-24
11,10000.0,2014-02-25
12,10000.0,2014-02-26
13,10000.0,2014-02-27
14,10000.0,2014-02-28
15,10000.0,2014-03-03
16,10000.0,2014-03-04
17,8963.402237183565,2014-03-05
18,10024.452694270989,2014-03-06
19,10024.452694270989,2014-03-06
20,10024.452694270989,2014-03-07
21,10024.452694270989,2014-03-10
22,10024.452694270989,2014-03-11
23,10024.452694270989,2014-03-12
24,10024.452694270989,2014-03-13
25,10024.452694270989,2014-03-14
26,10024.452694270989,2014-03-17
27,10024.452694270989,2014-03-18
28,10024.452694270989,2014-03-19
29,10024.452694270989,2014-03-20
30,10024.452694270989,2014-03-21
31,10024.452694270989,2014-03-24
32,8341.845149520977,2014-03-25
33,10170.393353918564,2014-03-26
34,10170.393353918564,2014-03-26
35,10170.393353918564,2014-03-27
36,10170.393353918564,2014-03-28
37,10170.393353918564,2014-03-31
38,8920.838971448326,2014-04-01
39,8920.838971448326,2014-04-02
40,8920.838971448326,2014-04-03
41,10237.638980674417,2014-04-04
42,10237.638980674417,2014-04-04
43,10237.638980674417,2014-04-07
44,10237.638980674417,2014-04-08
45,10237.638980674417,2014-04-09
46,9118.16218865687,2014-04-10
47,10276.372536373958,2014-04-11
48,10276.372536373958,2014-04-11
49,10276.372536373958,2014-04-14
50,10276.372536373958,2014-04-15
51,10276.372536373958,2014-04-16
52,10276.372536373958,2014-04-17
53,10276.372536373958,2014-04-21
54,10276.372536373958,2014-04-22
55,10276.372536373958,2014-04-23
56,10276.372536373958,2014-04-24
57,10276.372536373958,2014-04-25
58,10276.372536373958,2014-04-28
59,10276.372536373958,2014-04-29
60,10276.372536373958,2014-04-30
61,10276.372536373958,2014-05-01
62,8930.178063477133,2014-05-02
63,10291.670963852484,2014-05-05
64,10291.670963852484,2014-05-05
65,10291.670963852484,2014-05-06
66,10291.670963852484,2014-05-07
67,10291.670963852484,2014-05-08
68,10291.670963852484,2014-05-09
69,10291.670963852484,2014-05-12
70,10291.670963852484,2014-05-13
71,10291.670963852484,2014-05-14
72,10291.670963852484,2014-05-15
73,10291.670963852484,2014-05-16
74,10291.670963852484,2014-05-19
75,10291.670963852484,2014-05-20
76,10291.670963852484,2014-05-21
77,10291.670963852484,2014-05-22
78,10291.670963852484,2014-05-23
79,10291.670963852484,2014-05-27
80,10291.670963852484,2014-05-28
81,10291.670963852484,2014-05-29
82,8979.54704720348,2014-05-30
83,8979.54704720348,2014-06-02
84,10410.90416578132,2014-06-03
85,10410.90416578132,2014-06-03
86,10410.90416578132,2014-06-04
87,9376.094510718964,2014-06-05
88,9376.094510718964,2014-06-06
89,10693.935210755846,2014-06-09
