,dates,Price
0,2014-02-10,1799.84
1,2014-02-11,1819.75
2,2014-02-12,1819.26
3,2014-02-13,1829.83
4,2014-02-14,1838.63
5,2014-02-18,1840.76
6,2014-02-19,1828.75
7,2014-02-20,1839.78
8,2014-02-21,1836.25
9,2014-02-24,1847.71
10,2014-02-25,1845.12
11,2014-02-26,1845.16
12,2014-02-27,1854.29
13,2014-02-28,1859.45
14,2014-03-03,1845.73
15,2014-03-04,1873.91
16,2014-03-05,1873.81
17,2014-03-06,1877.03
18,2014-03-07,1878.04
19,2014-03-10,1877.17
20,2014-03-11,1867.63
21,2014-03-12,1868.2
22,2014-03-13,1846.34
23,2014-03-14,1841.13
24,2014-03-17,1858.83
25,2014-03-18,1872.25
26,2014-03-19,1860.77
27,2014-03-20,1872.01
28,2014-03-21,1866.4
29,2014-03-24,1857.44
30,2014-03-25,1865.62
31,2014-03-26,1852.56
32,2014-03-27,1849.04
33,2014-03-28,1857.62
34,2014-03-31,1872.34
35,2014-04-01,1885.52
36,2014-04-02,1890.9
37,2014-04-03,1888.77
38,2014-04-04,1865.09
39,2014-04-07,1845.04
40,2014-04-08,1851.96
41,2014-04-09,1872.18
42,2014-04-10,1833.08
43,2014-04-11,1815.69
44,2014-04-14,1830.61
45,2014-04-15,1842.98
46,2014-04-16,1862.31
47,2014-04-17,1864.85
48,2014-04-21,1871.89
49,2014-04-22,1879.55
50,2014-04-23,1875.39
51,2014-04-24,1878.61
52,2014-04-25,1863.4
53,2014-04-28,1869.43
54,2014-04-29,1878.33
55,2014-04-30,1883.95
56,2014-05-01,1883.68
57,2014-05-02,1881.14
58,2014-05-05,1884.66
59,2014-05-06,1867.72
60,2014-05-07,1878.21
61,2014-05-08,1875.63
62,2014-05-09,1878.47
63,2014-05-12,1896.65
64,2014-05-13,1897.45
65,2014-05-14,1888.53
66,2014-05-15,1870.85
67,2014-05-16,1877.86
68,2014-05-19,1885.08
69,2014-05-20,1872.83
70,2014-05-21,1888.03
71,2014-05-22,1892.49
