,cash,dates
0,10000.0,2014-02-07
1,10000.0,2014-02-10
2,10000.0,2014-02-11
3,9395.536220558051,2014-02-12
4,10010.482917547817,2014-02-13
5,10010.482917547817,2014-02-13
6,10010.482917547817,2014-02-14
7,10010.482917547817,2014-02-18
8,10010.482917547817,2014-02-19
9,10010.482917547817,2014-02-20
10,10010.482917547817,2014-02-21
11,10010.482917547817,2014-02-24
12,10010.482917547817,2014-02-25
13,10010.482917547817,2014-02-26
14,10010.482917547817,2014-02-27
15,10010.482917547817,2014-02-28
16,10010.482917547817,2014-03-03
17,10010.482917547817,2014-03-04
18,10010.482917547817,2014-03-05
19,10010.482917547817,2014-03-06
20,10010.482917547817,2014-03-07
21,10010.482917547817,2014-03-10
22,10010.482917547817,2014-03-11
23,10010.482917547817,2014-03-12
24,10010.482917547817,2014-03-13
25,10010.482917547817,2014-03-14
26,10010.482917547817,2014-03-17
27,10010.482917547817,2014-03-18
28,10010.482917547817,2014-03-19
29,10010.482917547817,2014-03-20
30,10010.482917547817,2014-03-21
31,10010.482917547817,2014-03-24
32,10010.482917547817,2014-03-25
33,10010.482917547817,2014-03-26
34,10010.482917547817,2014-03-27
35,10010.482917547817,2014-03-28
36,10010.482917547817,2014-03-31
37,10010.482917547817,2014-04-01
38,8816.581880184312,2014-04-02
39,10001.798445787213,2014-04-03
40,10001.798445787213,2014-04-03
41,10001.798445787213,2014-04-04
42,10001.798445787213,2014-04-07
43,8418.261988595128,2014-04-08
44,8418.261988595128,2014-04-09
45,10017.172789793854,2014-04-10
46,10017.172789793854,2014-04-10
47,10017.172789793854,2014-04-11
48,10017.172789793854,2014-04-14
49,10017.172789793854,2014-04-15
50,8856.577153483495,2014-04-16
51,10024.240187215659,2014-04-17
52,10024.240187215659,2014-04-17
53,10024.240187215659,2014-04-21
54,10024.240187215659,2014-04-22
55,10024.240187215659,2014-04-23
56,8664.961529286706,2014-04-24
57,10157.895237630206,2014-04-25
58,10157.895237630206,2014-04-25
59,10157.895237630206,2014-04-28
60,10157.895237630206,2014-04-29
61,10157.895237630206,2014-04-30
62,10157.895237630206,2014-05-01
63,10157.895237630206,2014-05-02
64,8962.330419513588,2014-05-05
65,10251.905696746311,2014-05-06
66,10251.905696746311,2014-05-06
67,10251.905696746311,2014-05-07
68,10251.905696746311,2014-05-08
69,10251.905696746311,2014-05-09
70,9047.001972235794,2014-05-12
71,10245.32468921902,2014-05-13
72,10245.32468921902,2014-05-13
73,9149.306159823058,2014-05-14
74,10387.153160594084,2014-05-15
75,10387.153160594084,2014-05-15
76,10387.153160594084,2014-05-16
77,10387.153160594084,2014-05-19
78,10387.153160594084,2014-05-20
79,9181.455650434138,2014-05-21
80,8975.136446382738,2014-05-22
81,10300.124662120874,2014-05-23
82,10300.124662120874,2014-05-23
83,10300.124662120874,2014-05-27
84,10300.124662120874,2014-05-28
85,10300.124662120874,2014-05-29
86,10300.124662120874,2014-05-30
87,10300.124662120874,2014-06-02
