,cash,dates
0,10000.0,2014-02-07
1,10000.0,2014-02-10
2,10000.0,2014-02-11
3,10000.0,2014-02-12
4,10000.0,2014-02-13
5,8528.057980258402,2014-02-14
6,9947.124699775673,2014-02-18
7,9947.124699775673,2014-02-18
8,9947.124699775673,2014-02-19
9,9947.124699775673,2014-02-20
10,9947.124699775673,2014-02-21
11,9947.124699775673,2014-02-24
12,9947.124699775673,2014-02-25
13,8282.145426781684,2014-02-26
14,8282.145426781684,2014-02-27
15,9842.19797385766,2014-02-28
16,9842.19797385766,2014-02-28
17,9842.19797385766,2014-03-03
18,9842.19797385766,2014-03-04
19,8164.707297703374,2014-03-05
20,10005.424671794379,2014-03-06
21,10005.424671794379,2014-03-06
22,10005.424671794379,2014-03-07
23,10005.424671794379,2014-03-10
24,10005.424671794379,2014-03-11
25,10005.424671794379,2014-03-12
26,10005.424671794379,2014-03-13
27,10005.424671794379,2014-03-14
28,10005.424671794379,2014-03-17
29,8470.203146359612,2014-03-18
30,8470.203146359612,2014-03-19
31,9965.374147706445,2014-03-20
32,9965.374147706445,2014-03-20
33,9965.374147706445,2014-03-21
34,8403.45834757636,2014-03-24
35,8212.540193179815,2014-03-25
36,10041.088397577401,2014-03-26
37,10041.088397577401,2014-03-26
38,8274.08818895954,2014-03-27
39,9988.86964998576,2014-03-28
40,9988.86964998576,2014-03-28
41,9988.86964998576,2014-03-31
42,8739.315267515522,2014-04-01
43,8739.315267515522,2014-04-02
44,8739.315267515522,2014-04-03
45,8739.315267515522,2014-04-04
46,8739.315267515522,2014-04-07
47,8739.315267515522,2014-04-08
48,8739.315267515522,2014-04-09
49,8739.315267515522,2014-04-10
50,10257.582774257211,2014-04-11
51,10257.582774257211,2014-04-11
52,10257.582774257211,2014-04-14
53,10257.582774257211,2014-04-15
54,10257.582774257211,2014-04-16
55,8808.276884657607,2014-04-17
56,10253.886047397207,2014-04-21
57,10253.886047397207,2014-04-21
58,10253.886047397207,2014-04-22
59,10253.886047397207,2014-04-23
60,10253.886047397207,2014-04-24
61,10253.886047397207,2014-04-25
62,10253.886047397207,2014-04-28
63,10253.886047397207,2014-04-29
64,10253.886047397207,2014-04-30
65,10253.886047397207,2014-05-01
66,8907.691574500383,2014-05-02
67,10269.184474875734,2014-05-05
68,10269.184474875734,2014-05-05
69,10269.184474875734,2014-05-06
70,10269.184474875734,2014-05-07
71,10269.184474875734,2014-05-08
72,10269.184474875734,2014-05-09
73,10269.184474875734,2014-05-12
74,8978.076116619988,2014-05-13
75,8978.076116619988,2014-05-14
76,10433.330682814398,2014-05-15
77,10433.330682814398,2014-05-15
78,10433.330682814398,2014-05-16
79,10433.330682814398,2014-05-19
80,10433.330682814398,2014-05-20
81,10433.330682814398,2014-05-21
82,10433.330682814398,2014-05-22
83,10433.330682814398,2014-05-23
84,9256.20769528681,2014-05-27
85,10371.63933229128,2014-05-28
86,10371.63933229128,2014-05-28
87,8931.621980201959,2014-05-29
