,cash,dates
0,10000.0,2014-02-07
1,10000.0,2014-02-10
2,10000.0,2014-02-11
3,8545.833310213613,2014-02-12
4,9990.227569814959,2014-02-13
5,9990.227569814959,2014-02-13
6,9990.227569814959,2014-02-14
7,8730.46264314726,2014-02-18
8,10023.33139826377,2014-02-19
9,10023.33139826377,2014-02-19
10,8815.593260165779,2014-02-20
11,17767.312010165777,2014-02-21
12,17767.312010165777,2014-02-21
13,16437.975721862415,2014-02-24
14,18095.0075184049,2014-02-25
15,18095.0075184049,2014-02-25
16,18095.0075184049,2014-02-26
17,17005.564506416365,2014-02-27
18,18283.227648948738,2014-02-28
19,18283.227648948738,2014-02-28
20,16547.102992864875,2014-03-03
21,25682.414242864877,2014-03-04
22,25682.414242864877,2014-03-04
23,25682.414242864877,2014-03-05
24,25682.414242864877,2014-03-06
25,25682.414242864877,2014-03-07
26,25682.414242864877,2014-03-10
27,25682.414242864877,2014-03-11
28,25682.414242864877,2014-03-12
29,25682.414242864877,2014-03-13
30,25682.414242864877,2014-03-14
31,25682.414242864877,2014-03-17
32,25682.414242864877,2014-03-18
33,25682.414242864877,2014-03-19
34,25682.414242864877,2014-03-20
35,25682.414242864877,2014-03-21
36,24013.649683985903,2014-03-24
37,33108.5471839859,2014-03-25
38,33108.5471839859,2014-03-25
39,33108.5471839859,2014-03-26
40,33108.5471839859,2014-03-27
41,33108.5471839859,2014-03-28
42,33108.5471839859,2014-03-31
43,33108.5471839859,2014-04-01
44,31914.6461466224,2014-04-02
45,31414.936501834072,2014-04-03
46,40507.25025183407,2014-04-04
47,40507.25025183407,2014-04-04
48,38867.895492011754,2014-04-07
49,38867.895492011754,2014-04-08
50,38867.895492011754,2014-04-09
51,40475.98321092071,2014-04-10
52,40475.98321092071,2014-04-10
53,40475.98321092071,2014-04-11
54,40475.98321092071,2014-04-14
55,40475.98321092071,2014-04-15
56,39315.38757461035,2014-04-16
57,40483.05060834251,2014-04-17
58,40483.05060834251,2014-04-17
59,40483.05060834251,2014-04-21
60,40483.05060834251,2014-04-22
61,40483.05060834251,2014-04-23
62,39123.77195041356,2014-04-24
63,40616.70565875706,2014-04-25
64,40616.70565875706,2014-04-25
65,40616.70565875706,2014-04-28
66,40616.70565875706,2014-04-29
67,40616.70565875706,2014-04-30
68,40616.70565875706,2014-05-01
69,40616.70565875706,2014-05-02
70,40616.70565875706,2014-05-05
71,40616.70565875706,2014-05-06
72,40616.70565875706,2014-05-07
73,40616.70565875706,2014-05-08
74,39415.14713063562,2014-05-09
75,38969.68647147835,2014-05-12
76,39546.665176166265,2014-05-13
77,39315.068996572496,2014-05-14
78,40631.1407665926,2014-05-15
79,40631.1407665926,2014-05-15
80,39049.15286912963,2014-05-16
81,40631.584435211604,2014-05-19
82,40631.584435211604,2014-05-19
83,39423.97726353908,2014-05-20
84,40524.36067642462,2014-05-21
85,40524.36067642462,2014-05-21
86,39340.7851583354,2014-05-22
87,40665.773374073535,2014-05-23
