,cash,dates
0,10000.0,2014-02-07
1,8558.310676219504,2014-02-10
2,8558.310676219504,2014-02-11
3,8558.310676219504,2014-02-12
4,8558.310676219504,2014-02-13
5,10132.616151345748,2014-02-14
6,10132.616151345748,2014-02-14
7,10132.616151345748,2014-02-18
8,10132.616151345748,2014-02-19
9,10132.616151345748,2014-02-20
10,10132.616151345748,2014-02-21
11,10132.616151345748,2014-02-24
12,10132.616151345748,2014-02-25
13,8467.636878351757,2014-02-26
14,10291.175136048545,2014-02-27
15,10291.175136048545,2014-02-27
16,10291.175136048545,2014-02-28
17,10291.175136048545,2014-03-03
18,10291.175136048545,2014-03-04
19,8613.684459894259,2014-03-05
20,10454.401833985263,2014-03-06
21,10454.401833985263,2014-03-06
22,8717.268427573912,2014-03-07
23,8717.268427573912,2014-03-10
24,8717.268427573912,2014-03-11
25,10585.490903116495,2014-03-12
26,10585.490903116495,2014-03-12
27,10585.490903116495,2014-03-13
28,10585.490903116495,2014-03-14
29,10585.490903116495,2014-03-17
30,10585.490903116495,2014-03-18
31,10585.490903116495,2014-03-19
32,10585.490903116495,2014-03-20
33,10585.490903116495,2014-03-21
34,10585.490903116495,2014-03-24
35,8902.883358366484,2014-03-25
36,10731.43156276407,2014-03-26
37,10731.43156276407,2014-03-26
38,8964.431354146209,2014-03-27
39,10679.212815172428,2014-03-28
40,10679.212815172428,2014-03-28
41,9410.065689592226,2014-03-31
42,9264.187578897512,2014-04-01
43,9264.187578897512,2014-04-02
44,9264.187578897512,2014-04-03
45,9264.187578897512,2014-04-04
46,9264.187578897512,2014-04-07
47,9264.187578897512,2014-04-08
48,9264.187578897512,2014-04-09
49,9264.187578897512,2014-04-10
50,9264.187578897512,2014-04-11
51,10782.52398732587,2014-04-14
52,10782.52398732587,2014-04-14
53,9322.55996284394,2014-04-15
54,10824.68498018172,2014-04-16
55,10824.68498018172,2014-04-16
56,10824.68498018172,2014-04-17
57,9641.178333591735,2014-04-21
58,10955.320575450562,2014-04-22
59,10955.320575450562,2014-04-22
60,10955.320575450562,2014-04-23
61,10955.320575450562,2014-04-24
62,10955.320575450562,2014-04-25
63,10955.320575450562,2014-04-28
64,10955.320575450562,2014-04-29
65,10955.320575450562,2014-04-30
66,10955.320575450562,2014-05-01
67,9609.126102553737,2014-05-02
68,9598.39531934433,2014-05-05
69,10946.006585652805,2014-05-06
70,10946.006585652805,2014-05-06
71,9627.986898639509,2014-05-07
72,11085.541054791804,2014-05-08
73,11085.541054791804,2014-05-08
74,11085.541054791804,2014-05-09
75,11085.541054791804,2014-05-12
76,9794.432696536058,2014-05-13
77,11213.143266206367,2014-05-14
78,11213.143266206367,2014-05-14
79,11213.143266206367,2014-05-15
80,9903.486485258965,2014-05-16
81,10047.351060525776,2014-05-19
82,11459.778145824643,2014-05-20
83,11459.778145824643,2014-05-20
84,11459.778145824643,2014-05-21
85,11459.778145824643,2014-05-22
86,11459.778145824643,2014-05-23
87,10212.338836410852,2014-05-27
88,11383.026961699965,2014-05-28
89,11383.026961699965,2014-05-28
90,9943.009609610643,2014-05-29
91,9943.009609610643,2014-05-30
92,9943.009609610643,2014-06-02
93,11355.259473649356,2014-06-03
94,11355.259473649356,2014-06-03
95,10042.870450617238,2014-06-04
96,10042.870450617238,2014-06-05
97,10042.870450617238,2014-06-06
98,9859.693348679783,2014-06-09
99,11256.077865219606,2014-06-10
100,11256.077865219606,2014-06-10
101,11256.077865219606,2014-06-11
102,11256.077865219606,2014-06-12
103,11256.077865219606,2014-06-13
104,11256.077865219606,2014-06-16
105,11256.077865219606,2014-06-17
106,9855.867052227277,2014-06-18
107,10284.078098122856,2014-06-19
108,11457.548142156804,2014-06-20
109,11457.548142156804,2014-06-20
110,11457.548142156804,2014-06-23
111,11457.548142156804,2014-06-24
112,11457.548142156804,2014-06-25
113,11457.548142156804,2014-06-26
114,11457.548142156804,2014-06-27
115,11457.548142156804,2014-06-30
116,10236.193297211132,2014-07-01
117,10236.193297211132,2014-07-02
118,10236.193297211132,2014-07-03
119,10279.853845438145,2014-07-07
120,11680.08623059967,2014-07-08
121,11680.08623059967,2014-07-08
122,11680.08623059967,2014-07-09
123,10145.023679967777,2014-07-10
124,10145.023679967777,2014-07-11
125,11672.512840858917,2014-07-14
126,11672.512840858917,2014-07-14
127,11672.512840858917,2014-07-15
128,11672.512840858917,2014-07-16
129,10675.196832595155,2014-07-17
130,11626.244632624272,2014-07-18
131,11626.244632624272,2014-07-18
132,10140.753916832475,2014-07-21
133,10073.085353505008,2014-07-22
134,10073.085353505008,2014-07-23
135,11572.968325385787,2014-07-24
136,11572.968325385787,2014-07-24
137,10090.372136516291,2014-07-25
138,11502.391277922183,2014-07-28
139,11502.391277922183,2014-07-28
140,11502.391277922183,2014-07-29
141,11502.391277922183,2014-07-30
142,11502.391277922183,2014-07-31
143,11502.391277922183,2014-08-01
144,10036.063378538114,2014-08-04
