,cash,dates
0,100000.0,2014-01-16
1,99971.02686516171,2014-01-17
2,99971.02686516171,2014-01-21
3,99971.02686516171,2014-01-22
4,99971.02686516171,2014-01-23
5,99971.02686516171,2014-01-24
6,99971.02686516171,2014-01-27
7,99971.02686516171,2014-01-28
8,99971.02686516171,2014-01-29
9,99971.02686516171,2014-01-30
10,100211.66837696383,2014-01-31
11,100211.66837696383,2014-02-03
12,100211.66837696383,2014-02-04
13,100211.66837696383,2014-02-05
14,100211.66837696383,2014-02-06
15,100211.66837696383,2014-02-07
16,100211.66837696383,2014-02-10
17,100211.66837696383,2014-02-11
18,100211.66837696383,2014-02-12
19,100211.66837696383,2014-02-13
20,100388.62733957665,2014-02-14
21,100388.62733957665,2014-02-18
22,100388.62733957665,2014-02-19
23,100388.62733957665,2014-02-20
24,100388.62733957665,2014-02-21
25,100388.62733957665,2014-02-24
26,100388.62733957665,2014-02-25
27,100388.62733957665,2014-02-26
28,100388.62733957665,2014-02-27
29,100183.43215074492,2014-02-28
30,100183.43215074492,2014-03-03
31,100183.43215074492,2014-03-04
32,100183.43215074492,2014-03-05
33,100183.43215074492,2014-03-06
34,100183.43215074492,2014-03-07
35,100183.43215074492,2014-03-10
36,100183.43215074492,2014-03-11
37,100183.43215074492,2014-03-12
38,100183.43215074492,2014-03-13
39,102000.40156672992,2014-03-14
40,102000.40156672992,2014-03-17
41,102000.40156672992,2014-03-18
42,102000.40156672992,2014-03-19
43,102000.40156672992,2014-03-20
44,102000.40156672992,2014-03-21
45,102000.40156672992,2014-03-24
46,102000.40156672992,2014-03-25
47,102000.40156672992,2014-03-26
48,102000.40156672992,2014-03-27
49,103816.98155274492,2014-03-28
50,103816.98155274492,2014-03-31
51,103816.98155274492,2014-04-01
52,103816.98155274492,2014-04-02
53,103816.98155274492,2014-04-03
54,103816.98155274492,2014-04-04
55,103816.98155274492,2014-04-07
56,103816.98155274492,2014-04-08
57,103816.98155274492,2014-04-09
58,103816.98155274492,2014-04-10
59,103968.1696909246,2014-04-11
60,103968.1696909246,2014-04-14
61,103968.1696909246,2014-04-15
62,103968.1696909246,2014-04-16
63,103968.1696909246,2014-04-17
64,103968.1696909246,2014-04-21
65,103968.1696909246,2014-04-22
66,103968.1696909246,2014-04-23
67,103968.1696909246,2014-04-24
68,104134.15568635748,2014-04-25
69,104134.15568635748,2014-04-28
70,104134.15568635748,2014-04-29
71,104134.15568635748,2014-04-30
72,104134.15568635748,2014-05-01
73,104134.15568635748,2014-05-02
74,104134.15568635748,2014-05-05
75,104134.15568635748,2014-05-06
76,104134.15568635748,2014-05-07
77,104134.15568635748,2014-05-08
78,103977.15382899587,2014-05-09
79,103977.15382899587,2014-05-12
80,103977.15382899587,2014-05-13
81,103977.15382899587,2014-05-14
82,103977.15382899587,2014-05-15
83,103977.15382899587,2014-05-16
84,103977.15382899587,2014-05-19
85,103977.15382899587,2014-05-20
86,103977.15382899587,2014-05-21
87,103977.15382899587,2014-05-22
88,103838.71619631906,2014-05-23
89,103838.71619631906,2014-05-27
90,103838.71619631906,2014-05-28
91,103838.71619631906,2014-05-29
92,103838.71619631906,2014-05-30
93,103838.71619631906,2014-06-02
94,103838.71619631906,2014-06-03
95,103838.71619631906,2014-06-04
96,103838.71619631906,2014-06-05
97,103941.94518033406,2014-06-06
98,103941.94518033406,2014-06-06
99,104135.31016424972,2014-06-09
100,104135.31016424972,2014-06-10
101,104135.31016424972,2014-06-11
