,cash,dates
0,9807.97653858833,2014-01-16
1,9807.97653858833,2014-01-17
2,9807.97653858833,2014-01-21
3,9807.97653858833,2014-01-22
4,9807.97653858833,2014-01-23
5,9807.97653858833,2014-01-24
6,9807.97653858833,2014-01-27
7,9807.97653858833,2014-01-28
8,9807.97653858833,2014-01-29
9,10226.983019053701,2014-01-30
10,10226.983019053701,2014-01-31
11,10226.983019053701,2014-02-03
12,10226.983019053701,2014-02-04
13,10226.983019053701,2014-02-05
14,10226.983019053701,2014-02-06
15,10226.983019053701,2014-02-07
16,10226.983019053701,2014-02-10
17,10226.983019053701,2014-02-11
18,10226.983019053701,2014-02-12
19,10202.017338141164,2014-02-13
20,10202.017338141164,2014-02-14
21,10202.017338141164,2014-02-18
22,10202.017338141164,2014-02-19
23,10202.017338141164,2014-02-20
24,10202.017338141164,2014-02-21
25,10202.017338141164,2014-02-24
26,10202.017338141164,2014-02-25
27,10202.017338141164,2014-02-26
28,9823.792106864721,2014-02-27
29,9823.792106864721,2014-02-28
30,9823.792106864721,2014-03-03
31,9823.792106864721,2014-03-04
32,9823.792106864721,2014-03-05
33,9823.792106864721,2014-03-06
34,9823.792106864721,2014-03-07
35,9823.792106864721,2014-03-10
36,9823.792106864721,2014-03-11
37,9823.792106864721,2014-03-12
38,9818.6337710468,2014-03-13
39,9818.6337710468,2014-03-14
40,9818.6337710468,2014-03-17
41,9818.6337710468,2014-03-18
42,9818.6337710468,2014-03-19
43,9818.6337710468,2014-03-20
44,9818.6337710468,2014-03-21
45,9818.6337710468,2014-03-24
46,9818.6337710468,2014-03-25
47,9818.6337710468,2014-03-26
48,9810.517536598269,2014-03-27
49,9810.517536598269,2014-03-28
50,9810.517536598269,2014-03-31
51,9810.517536598269,2014-04-01
52,9810.517536598269,2014-04-02
53,9810.517536598269,2014-04-03
54,9810.517536598269,2014-04-04
55,9810.517536598269,2014-04-07
56,9810.517536598269,2014-04-08
57,9810.517536598269,2014-04-09
58,10010.646522762774,2014-04-10
59,10010.646522762774,2014-04-10
60,10152.234083045141,2014-04-11
61,10152.234083045141,2014-04-14
62,10152.234083045141,2014-04-15
63,10152.234083045141,2014-04-16
64,10152.234083045141,2014-04-17
65,10152.234083045141,2014-04-21
66,10152.234083045141,2014-04-22
67,10152.234083045141,2014-04-23
68,10152.234083045141,2014-04-24
69,9859.738181984483,2014-04-25
70,9859.738181984483,2014-04-28
71,9859.738181984483,2014-04-29
72,9859.738181984483,2014-04-30
73,9859.738181984483,2014-05-01
74,9859.738181984483,2014-05-02
75,9859.738181984483,2014-05-05
76,9859.738181984483,2014-05-06
77,9859.738181984483,2014-05-07
78,9859.738181984483,2014-05-08
79,9745.210025305849,2014-05-09
80,9745.210025305849,2014-05-12
81,9745.210025305849,2014-05-13
82,9745.210025305849,2014-05-14
83,9745.210025305849,2014-05-15
84,9745.210025305849,2014-05-16
85,9745.210025305849,2014-05-19
86,9745.210025305849,2014-05-20
87,9745.210025305849,2014-05-21
88,9745.210025305849,2014-05-22
89,9733.663954365466,2014-05-23
90,9733.663954365466,2014-05-27
91,9733.663954365466,2014-05-28
92,9733.663954365466,2014-05-29
93,9733.663954365466,2014-05-30
94,9733.663954365466,2014-06-02
95,9733.663954365466,2014-06-03
96,9733.663954365466,2014-06-04
97,9733.663954365466,2014-06-05
98,9744.674654528471,2014-06-06
99,9744.674654528471,2014-06-06
100,9941.845928636158,2014-06-09
101,9941.845928636158,2014-06-10
102,9941.845928636158,2014-06-11
103,9941.845928636158,2014-06-12
104,9941.845928636158,2014-06-13
105,9941.845928636158,2014-06-16
106,9941.845928636158,2014-06-17
107,9941.845928636158,2014-06-18
108,9941.845928636158,2014-06-19
109,9941.845928636158,2014-06-20
110,9544.66886745767,2014-06-23
111,9544.66886745767,2014-06-24
112,9544.66886745767,2014-06-25
113,9544.66886745767,2014-06-26
114,9544.66886745767,2014-06-27
115,9544.66886745767,2014-06-30
116,9544.66886745767,2014-07-01
117,9544.66886745767,2014-07-02
118,9544.66886745767,2014-07-03
119,9877.764486688648,2014-07-07
120,9877.764486688648,2014-07-08
121,9877.764486688648,2014-07-09
122,9877.764486688648,2014-07-10
123,9877.764486688648,2014-07-11
124,9877.764486688648,2014-07-14
125,9877.764486688648,2014-07-15
126,9877.764486688648,2014-07-16
127,9877.764486688648,2014-07-17
128,9877.764486688648,2014-07-18
129,9504.356316409465,2014-07-21
130,9504.356316409465,2014-07-22
131,9504.356316409465,2014-07-23
132,9504.356316409465,2014-07-24
133,9504.356316409465,2014-07-25
134,9504.356316409465,2014-07-28
135,9504.356316409465,2014-07-29
136,9504.356316409465,2014-07-30
137,9504.356316409465,2014-07-31
138,9504.356316409465,2014-08-01
139,9516.559652612568,2014-08-04
140,9516.559652612568,2014-08-05
141,9516.559652612568,2014-08-06
142,9516.559652612568,2014-08-07
143,9516.559652612568,2014-08-08
144,9516.559652612568,2014-08-11
145,9516.559652612568,2014-08-12
146,9516.559652612568,2014-08-13
147,9516.559652612568,2014-08-14
148,9516.559652612568,2014-08-15
149,9522.682882155377,2014-08-18
150,9522.682882155377,2014-08-19
151,9522.682882155377,2014-08-20
